abbc	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
abbc	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Gold	2 1 2 2 0 0 0 1 1 2 0 0 0 0 0 0 2 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 2 1 1 2 0 0 1 0 0 0 1 0 0 0 2 0 0 2 2 0 0 0 1 2 0 1 2 1 0 0 2 2 0 0 2 2 0 0 2 2 2 2
afck	Main model	6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
afck	Relabel model	3 3 3 6 6 6 3 3 3 3 3 3 6 6 3 6 6 6 3 3 3 6 3 3 3 3 3 3 6 3 3 6 3 6 6 6 6 3 3 3 6 6 6 3 3 3 3 6
afck	Gold	0 0 0 2 0 3 1 2 2 6 4 0 0 3 4 2 0 4 6 0 6 4 4 3 4 4 2 0 2 6 4 3 4 0 2 4 2 2 6 6 0 5 0 2 6 6 0 5
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
chct	Relabel model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
chct	Gold	1 1 2 1 1 1 3 2 2 1 1 1 1 1 2 1 2 2 1 2 1 3 1 1 2 0 1 0 3 1 1 2 1 2 2 1 2 1 1 2 2 1 1 2 2 2 2 1 1 2 3 1 1 2 1 1 1 1 2 1 3 1 2 1
clck	Main model	0 0 0 0 0 0 0 0
clck	Relabel model	2 2 0 0 2 2 0 0
clck	Gold	0 0 2 0 0 0 0 0
faan	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
faan	Relabel model	2 2 1 1 1 2 1 1 2 2 2 1 1 1 2 2 1 1 1 1
faan	Gold	0 2 2 2 2 1 0 0 1 1 0 0 0 2 1 2 0 1 0 2
faly	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
faly	Relabel model	2 4 4 2 4 4 4 2 2 2 3 4 2 4 4 2
faly	Gold	2 3 0 1 3 1 3 3 1 2 0 0 2 1 3 2
fani	Main model	1 1 1 1 1 1 1 1
fani	Relabel model	1 1 1 1 1 1 1 1
fani	Gold	0 0 1 0 0 0 0 0
farg	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
farg	Relabel model	4 7 2 7 2 7 4 7 2 4 2 4 7 4 2 7 4 4 7 7 2 4 4 7 7 7 7 2 7 7 7 4 7 4 7 7 4 7 2 7 7 7 5 7 2 4 7 4 7 7 5 5 4 4 4 7 7 7 7 7 7 7 7 5 4 7
farg	Gold	4 3 3 3 9 3 6 3 3 3 3 7 3 7 3 4 3 6 6 3 1 3 3 6 3 3 3 3 3 4 3 2 3 4 1 5 4 9 3 3 3 4 3 3 3 3 6 3 10 4 3 6 3 3 3 3 3 3 3 3 3 3 6 3 3 9
