abbc	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Gold	1 2 2 1 1 0 0 0 1 0 2 0 0 0 0 0 2 1 0 2 0 2 1 0 0 1 0 0 1 0 1 2 2 1 2 0 0 0 0 1
afck	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
afck	Relabel model	5 5 5 5 5 5 5 2 5 5 4 5 5 5 0 5 4 5 4 0 5 5 0 5 4 5 5 5 5 5 0 5
afck	Gold	0 2 6 2 4 0 0 5 0 2 3 2 6 0 0 0 0 2 2 6 2 2 2 6 0 0 4 2 2 0 2 0
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
chct	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
chct	Gold	2 3 2 0 2 1 1 2 1 1 2 3 1 1 1 2 0 2 1 2 1 2 2 2 1 2 2 2 3 0 2 2
clck	Main model	0 0 0 0
clck	Relabel model	0 0 0 0
clck	Gold	2 0 2 0
faan	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
faan	Relabel model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
faan	Gold	2 0 2 2 1 2 2 0 2 0 0 2 0 0 2 2
faly	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2
faly	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0
faly	Gold	3 1 1 0 3 4 2 1 4 3 3 3 4 3
fani	Main model	0 0 0 0
fani	Relabel model	1 1 1 1
fani	Gold	1 0 1 1
farg	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
farg	Relabel model	8 8 2 0 8 8 8 8 2 8 0 8 0 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 0 8 8 8 8 8 8 8 8 8 8 8
farg	Gold	10 3 3 3 1 3 3 3 3 3 3 3 3 3 3 3 4 3 6 3 10 5 3 9 9 3 6 3 1 3 2 3 3 3 3 6 6 6 3 3 6 3 3 3 6 6 9 3
