abbc	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
abbc	Relabel model	2 2 2 0 0 2 0 0 0 0 2 0 2 0 2 0 0 0 0 0 2 2 2 2 0 0 2 2 0 0 2 2 2 2 2 0 0 2 2 0
abbc	Gold	0 0 2 1 2 2 2 0 1 2 0 2 0 1 2 2 0 1 0 1 1 0 0 2 1 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0
afck	Main model	6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
afck	Relabel model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 0 3 3 3 4 0 3 3 3 3 3 3 3 3 3 0 3 0
afck	Gold	6 3 2 2 0 6 2 2 0 0 0 2 2 0 6 5 2 2 2 0 6 4 0 0 0 2 2 6 4 6 2 6
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
chct	Relabel model	3 2 2 2 2 2 2 2 3 2 3 2 2 2 3 3 2 2 3 3 2 3 2 3 2 2 2 2 2 2 2 2
chct	Gold	2 2 2 1 2 0 1 1 1 3 3 1 1 1 1 2 2 1 2 3 2 2 2 0 2 2 2 2 1 2 2 2
clck	Main model	0 0 0 0
clck	Relabel model	0 0 0 0
clck	Gold	0 2 0 0
faan	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
faan	Relabel model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
faan	Gold	2 2 0 2 2 1 2 2 0 0 0 0 0 2 0 1
