abbc	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
abbc	Relabel model	0 0 1 1 1 1 0 0 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1 0 1 1 1 0 1 1 0 1
abbc	Gold	0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 1 0 2 2 1 1 2 1 0 2 1 2 2 2 0 1 2 0 1 1 1 1 0 1 0
afck	Main model	6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
afck	Relabel model	2 2 2 2 6 6 4 2 2 2 2 5 2 2 2 2 5 2 2 2 2 2 2 2 5 2 2 2 2 2 2 5
afck	Gold	0 4 2 2 0 6 0 0 2 2 2 2 0 0 3 2 6 2 0 6 0 5 6 2 6 0 2 0 6 3 6 6
bove	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
bove	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
chct	Relabel model	0 0 2 2 2 0 2 0 0 3 0 2 0 0 3 0 2 0 0 0 2 3 3 0 2 2 3 0 0 0 0 3
chct	Gold	2 1 2 1 1 1 0 3 1 2 3 1 0 2 2 2 2 2 1 2 1 2 1 3 2 2 2 1 2 1 1 2
clck	Main model	1 1 1 1
clck	Relabel model	0 0 0 0
clck	Gold	0 2 2 2
faan	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
faan	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
faan	Gold	0 2 0 0 2 2 2 2 1 2 0 2 2 0 0 0
faly	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4
faly	Relabel model	0 3 3 3 0 0 3 3 3 3 3 3 0 3
faly	Gold	3 3 0 1 4 2 1 3 3 1 1 1 2 0
fani	Main model	2 2 2 2
fani	Relabel model	1 1 1 1
fani	Gold	1 0 0 0
farg	Main model	10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
farg	Relabel model	1 1 2 2 1 0 1 0 0 2 2 1 1 1 2 1 9 1 0 9 0 1 1 1 1 9 1 2 1 0 2 1 9 0 9 1 9 2 9 1 2 1 2 1 1 1 2 9
farg	Gold	1 3 3 3 3 3 3 2 10 6 3 3 9 3 3 3 3 3 3 3 3 6 4 3 3 1 10 3 3 6 6 3 6 3 3 3 3 3 9 6 3 5 3 3 3 6 3 9
goop	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
goop	Relabel model	3 3 3 3 3 3 3 3 3 1 3 3 3 3 3 3 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 0 3 3 3 3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 3 3 3 3 3 3 2 3 3 3 2 3 3 3 3 3 3 3 0 3 3 2 3 3 3 3 2 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0 3 3 2 3 3 0 0 3 0 3 3 3 0 3 0 3 3 3 2 3 3 3 3 3 2 3 3 3 3 3 3 3 2 2 3 0 3 2 3 3 3 3 3 3 3 3 2 0 3 2 3 3 0 3 2 3 2 3 0 3 3 0 3 2 3 3 3 3 3 3 0 1 3 3 2 3 3 3 3 4 0 3 3 2 3 3 3 3 0 3 3 3 3 0 3 1 3 3 2 3 0 3 3 2 3 3 0 0 3 3 3 0 2 3 3 3 3 1 3 3 3 3 3 3 3 2 3 3 3 3 0 3 3 3 3 3 4 1 0 3 3 2 3 3 3 3 3 3 4 2 3 3 3 0 2 3 2 2 3 3 3 1 3 3 0 3 3 3 3 0 3 0 2 3 3 3 2 3 3 3 3 3 3 3 1 3 3 3 2 3 3 3 3 1 3 3 3 3 3 3 3 3 3
goop	Gold	0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0 0 0 0 1 0 0 2 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 4 0 0 4 0 1 0 0 0 0 0 1 0 0 1 0 4 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 3 0 1 0 4 0 0 0 0 2 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 2 0 0 1 0
hoer	Main model	6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
hoer	Relabel model	0 0 0 1 3 1 4 3 0 0 0 0 0 3 0 3 0 3 0 0 0 0 1 0 0 3 3 3 0 0 4 1 1 1 4 1 0 1 0 3 1 1 1 3 0 0 3 0 3 0 2 3 3 3 1 3 0 3 3 1 0 0 0 4 3 1 3 0 1 3 0 0 3 3 0 3 0 1 3 0 3 1 3 1 1 1 0 3 1 1 0 0 0 0 1 1 3 0 1 3 0 0 1 3 0 0 0 3 1 3 3 3 4 4 1 3 0 0 0 1 1 0 0 4 0 3 0 0 0 1 1 3 3 3 1 3 3 0 1 0
