abbc	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
abbc	Relabel model	2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 0 2 1 2 2 2 0 0 2 2 0 2 2 2 0 2 2 2 2 2 2 2 2 2 2
abbc	Gold	0 1 2 1 2 0 1 0 0 0 0 2 2 0 0 1 2 2 0 0 2 0 2 1 1 0 1 1 0 0 0 1 0 1 2 0 1 0 0 2
afck	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
afck	Relabel model	3 0 0 0 0 2 3 2 0 0 3 3 2 2 6 3 2 3 3 3 0 3 2 0 0 0 3 2 3 2 2 3
afck	Gold	4 2 0 0 6 2 0 2 6 6 0 2 5 2 6 0 2 2 2 3 2 0 0 0 0 0 0 2 0 2 2 2
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
chct	Relabel model	2 1 2 1 2 2 2 2 2 2 2 2 2 1 1 2 2 2 2 2 2 2 2 1 2 2 2 2 1 2 2 2
chct	Gold	1 1 2 0 2 3 2 2 1 3 1 1 1 2 2 2 2 2 1 2 1 2 3 2 2 1 2 1 0 1 1 1
clck	Main model	0 0 0 0
clck	Relabel model	1 1 1 1
clck	Gold	0 2 2 0
faan	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
faan	Relabel model	2 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1
faan	Gold	2 0 0 2 0 2 2 2 0 2 1 2 0 2 2 2
faly	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1
faly	Relabel model	1 2 2 1 2 4 1 2 1 2 4 2 2 1
faly	Gold	0 2 3 4 3 1 1 3 0 3 1 3 3 1
fani	Main model	1 1 1 1
fani	Relabel model	2 2 2 2
fani	Gold	1 0 0 0
farg	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
farg	Relabel model	4 4 3 10 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 4 4 4 4 4 4 8 4 4 4 4 4 4 4 4 4 4 4
farg	Gold	3 3 3 3 3 6 2 3 4 10 3 3 3 3 3 3 3 3 3 6 5 3 3 3 9 6 6 3 1 9 3 3 3 10 3 3 3 6 3 6 1 3 3 6 10 3 3 6
goop	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
goop	Relabel model	4 4 3 4 4 4 0 4 3 3 5 4 3 3 4 3 3 4 4 3 4 3 4 3 4 4 4 4 3 4 3 3 4 3 4 1 3 4 4 3 0 3 4 4 4 4 4 4 4 4 4 4 3 4 4 3 1 4 4 4 4 3 1 4 3 4 4 4 4 4 3 3 3 4 4 3 3 3 3 4 3 3 4 3 4 4 3 4 3 4 0 4 4 3 1 4 4 4 1 4 3 3 4 4 3 1 4 4 3 3 3 3 1 4 4 4 4 4 4 4 4 4 3 4 3 4 4 3 3 4 4 3 4 3 3 4 3 4 3 4 4 4 4 4 3 3 4 4 4 3 3 4 4 4 4 3 4 4 4 4 4 4 3 3 4 4 4 3 3 5 4 4 3 4 4 4 3 4 4 3 3 4 4 4 4 4 4 4 3 4 4 4 4 1 3 3 3 4 3 4 3 4 3 4 4 4 4 3 3 3 3 4 3 4 4 3 1 3 4 3 3 4 3 4 3 4 3 4 4 4 4 4 4 3 3 3 3 3 1 4 3 4 4 3 4 3 4 3 4 3 3 4 4 0 4 4 4 4 4 4 3 3 0 4 4 3 4 4 3 1 4 3 1 4 4 4 4 4 4 4 3 4 3 4 4 4 4 3 3 4 3 3 4 3 4 4 3 4 3 4 3 1 4 4
goop	Gold	1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 4 0 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 4 0 0 0 0 0 0 3 1 0 1 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 3 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 1 0 0 0 0 0 0 0 3 0 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 4 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 3 0 0 0 4 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
hoer	Main model	5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
hoer	Relabel model	4 4 4 4 4 4 4 4 6 4 4 4 4 4 4 4 4 6 4 6 4 6 6 4 4 6 4 4 4 6 4 4 4 4 4 4 4 4 6 6 4 4 4 6 4 4 6 4 4 4 4 6 4 4 4 4 6 6 4 6 4 4 4 4 4 6 6 6 4 4 5 4 6 4 4 4 6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 6 4 4 6 4 4 4 4 4 4 4 4 4 6 6 4 4 4 6 6 4 4 4 4 6 4 4 4 4 4 4 4 4 4 4 4 4 4 6 4 4 4 4 4 6 4
