abbc	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Relabel model	0 0 0 2 0 2 2 2 2 2 2 0 0 2 2 1 2 0 2 0 1 0 2 0 2 2 2 0 2 1 2 1 2 0 2 2 2 0 0 2 0 0 2 0 2 2 0 2 2 2 0 2 2 1 2 0 0 2 2 0 2 0 0 2 2 2 2 2 0 2 0 0 2 0
abbc	Gold	1 0 0 0 1 0 2 1 0 2 2 0 2 0 2 1 1 2 2 0 0 1 2 2 2 2 0 1 2 0 1 2 0 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 2 0 0 2 0 0 0 1 1 1 0 0 0 0 0 0 0 2 0 2 1
afck	Main model	6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
afck	Relabel model	2 1 4 1 4 0 2 1 0 2 0 0 1 1 1 0 1 1 0 2 4 2 4 1 4 0 2 0 1 1 4 2 0 1 2 1 4 2 4 4 4 1 4 0 1 1 4 1
afck	Gold	0 0 4 2 4 6 2 2 0 5 4 4 6 0 1 6 0 2 0 3 2 4 6 6 2 6 0 4 0 4 0 2 3 0 2 4 0 0 3 0 3 6 2 4 6 2 4 1
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Relabel model	0 3 3 3 0 3 3 1 3 3 1 1 1 3 3 3 3 3 3 0 0 3 0 3 0 3 3 3 3 3 3 3 3 3 3 0 3 0 0 0 3 0 3 3 3 0 0 3 0 3 0 0 0 3 1 0 3 0 3 1 3 1 3 0
chct	Gold	1 2 1 1 2 1 2 1 1 1 2 1 2 1 2 2 1 1 1 2 1 2 2 1 1 1 0 1 1 2 2 2 3 3 3 1 2 2 1 1 3 0 1 1 2 1 1 1 1 1 1 2 1 2 2 1 2 1 2 2 3 1 2 2
clck	Main model	0 0 0 0 0 0 0 0
clck	Relabel model	1 1 0 0 1 0 0 0
clck	Gold	0 2 0 0 2 0 0 0
faan	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
faan	Relabel model	2 0 0 2 2 2 0 2 2 2 2 0 2 0 0 2 2 0 2 2
faan	Gold	0 0 0 0 1 2 1 2 0 0 1 2 1 2 0 2 1 2 2 0
faly	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
faly	Relabel model	2 2 2 2 2 1 2 1 1 1 2 2 2 1 2 2
faly	Gold	1 3 3 0 2 2 3 1 1 3 0 3 3 2 0 0
fani	Main model	0 0 0 0 0 0 0 0
fani	Relabel model	1 1 1 1 1 1 1 1
fani	Gold	0 1 0 0 0 1 0 1
farg	Main model	6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
farg	Relabel model	8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 10 8 9 8 8 8 8 10 9 8 8 8 8 8 8 8 8 8 8 0 8 8 8 10 8 8 8 6 8 8 8 6 8 9 6 10 8 8 5 8 8 9
