abbc	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
abbc	Relabel model	0 1 2 1 2 0 0 1 0 0 0 0 0 0 0 2 2 0 1 0 2 0 0 0 0 2 0 0 0 1 1 0 2 0 0 2 2 0 0 0
abbc	Gold	0 0 0 0 2 0 0 2 2 0 1 2 0 0 2 2 0 1 2 1 0 1 1 0 1 0 0 0 0 1 1 1 0 1 2 2 2 1 0 0
afck	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
afck	Relabel model	4 6 6 6 4 4 4 3 6 6 4 6 6 3 4 3 6 3 3 3 6 6 4 3 6 6 6 6 3 4 4 4
afck	Gold	6 2 0 2 2 0 5 6 3 4 2 0 2 2 0 0 2 0 6 6 2 2 0 0 2 2 2 2 0 6 6 0
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 0 1 1 1 0 0 1 1 1 1 1 1
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Relabel model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
chct	Gold	2 3 2 2 1 1 2 2 3 1 2 1 3 1 2 2 1 2 2 1 2 2 0 0 2 1 1 1 2 2 1 1
clck	Main model	0 0 0 0
clck	Relabel model	0 0 0 0
clck	Gold	0 2 2 2
faan	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
faan	Relabel model	2 2 2 2 2 1 1 1 2 2 2 2 2 1 2 2
faan	Gold	0 0 0 2 2 1 2 2 0 2 2 0 2 1 2 0
faly	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4
faly	Relabel model	3 3 3 3 3 3 4 3 3 3 3 3 3 3
faly	Gold	3 2 0 4 1 3 1 3 1 3 3 2 3 4
fani	Main model	2 2 2 2
fani	Relabel model	1 1 1 1
fani	Gold	1 0 0 0
farg	Main model	8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
farg	Relabel model	7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 4 4 7 4 7 7 4 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7
farg	Gold	6 10 3 3 6 3 10 3 3 3 2 3 3 6 3 3 6 1 9 3 3 4 3 3 3 3 5 3 1 3 3 3 3 3 3 3 3 6 3 3 9 6 3 3 3 6 3 3
goop	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
goop	Relabel model	2 4 4 4 4 2 4 2 2 2 2 2 2 2 2 2 4 2 2 2 3 2 2 2 2 4 3 4 2 4 3 4 2 2 2 2 2 3 4 2 2 2 4 2 2 4 4 4 4 2 4 2 2 2 2 2 2 2 2 2 4 2 4 2 2 2 2 2 2 2 4 4 2 2 4 2 4 2 4 2 4 2 4 4 2 2 2 4 2 4 2 2 4 4 2 2 2 2 2 2 4 4 2 3 3 2 4 2 2 3 2 2 2 3 3 2 2 4 2 4 2 2 4 3 4 2 4 4 4 4 2 4 2 4 2 4 4 4 2 2 2 2 2 2 2 2 4 2 2 2 4 2 4 2 2 2 2 4 3 2 2 2 4 4 2 2 2 4 2 3 4 4 2 2 3 4 2 2 4 2 2 3 2 3 2 2 2 3 4 4 4 2 4 4 2 2 2 4 4 4 3 2 2 2 2 4 2 2 4 4 2 4 2 4 2 2 2 4 2 2 2 4 2 2 2 4 2 3 2 2 2 2 2 2 2 2 4 2 4 4 3 2 4 4 2 2 4 2 2 2 2 4 2 2 2 4 4 4 4 2 2 4 2 3 2 2 4 4 2 3 4 2 2 4 2 4 2 4 4 4 4 2 2 2 2 4 4 2 4 4 2 2 2 4 2 2 2 2 2 4 2 2 2 2
goop	Gold	0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 3 0 0 2 0 1 0 3 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 4 0 0 0 1 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 3 0 0 0 1 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 4 0 0 0 1 2 0 0 0 0 0 0 0 3 0 4 1 0 0 0 3 0 0 0 0 0 0 0 0
hoer	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
hoer	Relabel model	1 1 5 1 1 3 1 1 1 1 5 1 1 1 3 1 5 1 1 1 1 1 1 1 1 1 1 1 5 1 1 5 1 1 1 5 1 5 5 5 3 1 1 1 1 1 1 1 1 1 1 5 1 5 1 1 1 1 5 1 1 5 1 1 1 1 1 1 5 1 1 1 1 5 3 1 1 1 1 1 1 1 1 5 1 1 1 1 1 1 5 1 1 1 1 1 1 1 1 1 1 5 1 1 1 1 5 1 3 1 1 5 1 1 1 1 1 1 1 1 1 1 5 1 1 1 1 5 1 1 5 1 1 1 1 1 1 1 1 1
hoer	Gold	1 6 1 1 0 3 0 1 1 0 0 5 0 1 1 4 0 2 5 5 6 0 0 4 5 0 5 1 1 1 1 1 2 0 1 0 1 5 1 0 0 4 1 1 2 5 1 1 1 5 1 1 6 1 5 1 4 1 1 0 4 5 5 5 1 5 5 1 5 4 0 2 5 1 1 0 1 1 1 5 5 2 0 0 5 5 0 1 1 2 5 4 1 5 3 4 2 2 5 4 5 1 4 1 1 1 5 5 1 1 0 1 1 4 0 1 5 1 5 5 4 5 1 1 5 4 1 5 4 1 1 0 1 2 1 1 4 1 5 6
huca	Main model	1 1 1 1 1 1 1 1
huca	Relabel model	2 2 0 0 0 2 0 2
huca	Gold	1 2 2 0 2 1 2 1
mpws	Main model	0 0 0 0 0 0 0 0
mpws	Relabel model	0 0 0 0 0 0 0 0
mpws	Gold	2 1 0 1 2 1 0 2
obry	Main model	3 3 3 3 3 3 3 3 3 3
obry	Relabel model	3 3 3 3 3 3 3 3 3 3
obry	Gold	1 3 1 1 2 1 2 2 1 1
para	Main model	6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
para	Relabel model	3 4 2 2 4 2 2 4 4 2 0 4 4 2 4 2 4 3 2 2 2 0 4 3 4 2 3 4
para	Gold	3 3 3 2 0 4 4 4 0 2 1 4 5 0 3 3 6 2 0 3 4 2 0 2 0 0 3 5
peck	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2
peck	Relabel model	2 2 1 2 1 2 0 2 1 2 2 2 2 2
peck	Gold	0 2 2 2 0 2 0 2 0 2 2 2 2 2
