abbc	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Relabel model	2 1 2 1 2 2 2 1 2 2 2 2 2 2 2 1 1 2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 1 2
abbc	Gold	0 2 2 0 1 0 0 2 0 1 2 1 2 2 1 0 0 2 1 1 0 1 0 1 0 0 0 0 2 0 1 0 0 1 2 0 0 1 2 2
afck	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
afck	Relabel model	5 5 5 5 5 5 5 5 5 5 5 4 4 5 5 5 4 5 4 5 5 4 5 5 5 5 5 5 5 4 4 5
afck	Gold	0 0 0 3 2 2 5 2 2 0 2 6 0 6 0 0 6 6 0 2 2 2 4 2 2 2 2 2 6 0 0 0
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Relabel model	0 0 0 0 0 0 0 0 3 0 0 0 3 0 2 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Gold	2 2 2 1 2 1 2 2 3 2 1 0 2 2 0 1 2 1 2 1 2 2 1 1 2 3 1 1 3 3 1 2
clck	Main model	0 0 0 0
clck	Relabel model	0 0 0 0
clck	Gold	0 2 0 0
faan	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
faan	Relabel model	1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1
faan	Gold	2 0 0 2 0 2 1 2 2 2 0 2 2 0 0 0
faly	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4
faly	Relabel model	4 4 4 4 4 4 4 4 4 4 4 4 4 4
faly	Gold	3 2 3 0 4 1 1 3 4 3 4 1 0 2
fani	Main model	1 1 1 1
fani	Relabel model	0 2 2 0
fani	Gold	1 0 0 1
farg	Main model	8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
farg	Relabel model	3 3 3 1 3 4 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 1 3 3 3 3 3 4 4 3 1 3 3 3 3 4 1 3 3 3 3 3 3 4 3 3 3 1
farg	Gold	3 3 6 1 3 3 3 1 3 6 3 10 3 3 9 6 3 3 3 3 5 3 3 9 3 3 3 6 3 3 3 6 3 3 4 3 3 6 3 10 2 3 3 6 3 3 6 3
goop	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
goop	Relabel model	2 1 4 2 3 3 3 1 1 3 3 4 2 1 4 2 4 1 3 2 4 3 4 4 4 3 2 3 1 3 4 2 4 4 2 3 3 4 3 3 3 4 4 3 1 3 4 3 4 4 3 1 4 4 4 3 3 3 4 4 3 3 3 1 3 3 4 3 4 4 4 4 3 3 1 4 4 4 4 3 3 3 4 4 4 3 3 4 3 3 4 3 4 3 4 3 3 4 1 4 1 4 1 3 3 3 4 1 4 4 1 4 3 4 4 4 4 3 4 4 2 2 3 3 3 3 4 4 4 4 4 4 4 4 3 3 4 4 4 4 4 4 4 4 4 3 3 3 3 4 4 4 3 3 3 4 3 3 3 4 4 3 3 3 3 1 4 1 3 3 3 3 3 3 3 4 1 4 4 3 4 4 3 3 3 1 4 4 3 4 4 3 2 4 1 4 4 4 3 4 3 1 4 3 3 3 4 3 3 2 4 4 4 4 4 2 4 1 4 4 4 3 4 3 3 4 4 2 3 4 3 3 1 2 3 4 4 3 3 4 2 1 2 3 4 3 3 4 3 2 3 1 3 3 3 2 3 1 3 4 4 4 4 4 3 3 3 4 3 2 3 4 3 4 3 3 3 4 4 4 3 3 3 3 2 3 4 4 4 4 4 2 4 4 3 1 3 4 2 4 3 1 3 3
goop	Gold	0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 3 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 4 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 2 0 0 0 0 4 0 4 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 4 0 0 0 1 0 0 3 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0 4 0 0 0 0 0 0 0
hoer	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hoer	Relabel model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
hoer	Gold	4 5 1 0 1 1 1 1 5 1 1 0 1 4 5 5 1 1 4 4 4 3 2 5 1 4 5 0 5 5 1 1 5 1 1 5 5 1 4 5 5 1 5 5 0 5 1 1 1 2 1 1 1 2 1 0 2 1 0 5 0 1 5 1 1 3 5 0 5 0 4 5 5 1 2 1 5 1 0 0 0 4 1 2 1 0 4 4 1 0 4 1 0 1 6 5 0 1 1 1 1 6 1 5 1 1 1 1 4 5 5 0 4 1 2 1 1 0 6 5 5 2 5 1 1 5 0 2 1 0 1 0 0 5 1 2 1 5 0 6
huca	Main model	2 2 2 2 2 2 2 2
huca	Relabel model	2 2 2 2 2 2 2 2
huca	Gold	2 1 2 0 2 1 2 1
mpws	Main model	0 0 0 0 0 0 0 0
mpws	Relabel model	0 0 0 0 0 0 0 0
mpws	Gold	0 1 2 1 0 2 1 1
obry	Main model	2 2 2 2 2 2 2 2 2 2
obry	Relabel model	0 2 2 2 2 0 2 0 2 2
obry	Gold	2 1 1 1 3 2 1 2 1 1
para	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
para	Relabel model	3 3 3 3 3 3 3 1 3 1 3 1 3 1 3 1 3 3 3 3 3 3 3 3 3 1 3 3
para	Gold	3 0 2 3 4 4 6 0 3 3 0 4 1 0 5 2 4 2 4 3 3 2 2 4 1 2 2 3
peck	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0
peck	Relabel model	2 2 2 2 2 2 2 2 2 2 2 2 2 2
peck	Gold	2 0 2 2 2 0 0 0 2 0 2 0 0 2
