abbc	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
abbc	Relabel model	2 1 1 1 2 1 2 2 1 1 0 1 1 1 1 1 1 1 2 2 1 1 0 1 1 2 1 2 1 0 1 1 1 1 2 2 1 2 1 1 1 1 2 2 2 1 1 1 1 0 1 2 1 1 1 1 1 2 2 2 1 2 1 2 2 1 1 1 2 1 2 1 0 2
abbc	Gold	0 2 0 1 1 0 2 1 1 0 0 0 2 0 0 0 0 0 0 2 1 0 0 0 0 2 2 2 1 0 0 0 0 0 0 0 2 2 0 1 0 1 0 2 0 0 1 1 0 0 0 1 0 0 2 2 1 0 1 1 0 2 0 0 0 2 2 2 0 0 2 1 0 0
afck	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
afck	Relabel model	3 0 0 1 1 0 1 1 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 6 0 0 0 1 1 0 1 1 1 0 0 0 1 0 1 0 0
afck	Gold	4 0 6 0 6 2 4 4 4 6 0 0 2 4 3 0 2 3 6 2 4 0 3 0 1 2 2 0 2 2 5 0 2 0 3 4 4 6 6 6 0 6 4 0 0 2 4 0
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
bove	Gold	0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Relabel model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 3 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
