abbc	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
abbc	Relabel model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2
abbc	Gold	1 0 0 0 0 1 1 2 0 0 0 1 0 2 1 0 2 0 2 2 0 1 2 1 2 0 2 1 0 0 2 1 0 1 0 0 0 0 0 0
afck	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
afck	Relabel model	0 2 2 2 0 2 0 0 2 2 2 4 2 0 0 4 0 2 2 0 2 4 0 4 4 4 4 2 2 2 2 0
afck	Gold	0 2 2 2 6 2 0 0 2 5 0 4 2 2 6 0 3 0 2 0 6 6 2 0 0 4 6 2 2 2 2 0
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
chct	Relabel model	0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
chct	Gold	2 2 1 2 1 1 3 2 1 1 2 1 1 2 2 3 2 2 2 3 2 1 0 0 2 1 1 2 2 1 2 1
clck	Main model	1 1 1 1
clck	Relabel model	2 0 0 0
clck	Gold	0 2 2 2
faan	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
faan	Relabel model	0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0
faan	Gold	2 0 2 0 2 0 0 1 2 2 2 0 2 2 0 0
faly	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1
faly	Relabel model	2 2 2 2 2 2 2 2 2 2 2 2 2 2
faly	Gold	1 3 2 1 4 0 3 1 3 4 1 2 3 4
fani	Main model	2 2 2 2
fani	Relabel model	0 2 0 0
fani	Gold	0 1 0 0
farg	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
farg	Relabel model	3 3 3 3 2 3 2 7 2 3 3 2 3 3 3 7 2 3 3 3 3 3 3 3 3 3 3 3 2 1 3 3 3 3 7 3 3 3 2 3 3 3 3 3 3 3 3 3
farg	Gold	3 3 3 6 3 9 6 3 3 10 3 9 4 3 3 3 3 3 3 6 2 3 3 3 5 6 3 3 1 3 3 3 3 10 3 6 3 3 6 3 1 3 3 3 6 9 3 3
goop	Main model	5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
goop	Relabel model	0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 5 2 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 3 2 0 0 0 0 3 0 0 0 0 0 0 0 5 3 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 5 0 3 0 0 0 5 3 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 3 0 0 0 0 5 0 0 5 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
