abbc	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Relabel model	0 2 1 1 1 0 0 1 0 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 0 1 1 0
abbc	Gold	2 0 1 0 0 0 1 1 0 2 0 2 1 1 0 0 0 2 0 2 2 0 1 0 1 2 0 0 2 1 1 2 0 1 0 0 0 1 1 2
afck	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
afck	Relabel model	4 4 4 4 4 4 4 4 4 2 4 0 2 4 4 4 4 2 2 4 4 2 4 4 4 2 4 4 4 4 4 4
afck	Gold	0 2 2 5 6 0 4 2 0 6 2 0 6 6 2 2 0 0 0 2 3 2 0 2 2 2 3 5 2 0 0 6
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
chct	Relabel model	0 0 0 0 0 2 0 0 0 2 0 2 2 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
chct	Gold	2 1 2 1 3 2 2 3 2 1 1 2 2 1 2 0 1 2 3 2 2 0 2 2 1 1 1 2 1 1 2 2
clck	Main model	0 0 0 0
clck	Relabel model	1 1 1 1
clck	Gold	2 0 0 0
faan	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
faan	Relabel model	0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0
faan	Gold	2 2 2 0 1 2 2 0 2 0 0 1 2 1 0 2
faly	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3
faly	Relabel model	3 3 3 3 3 3 3 3 3 3 3 3 3 3
faly	Gold	3 3 2 0 1 1 4 2 1 4 0 1 3 4
fani	Main model	2 2 2 2
fani	Relabel model	1 2 1 2
fani	Gold	0 1 0 1
farg	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
farg	Relabel model	4 10 10 10 0 0 0 0 10 4 10 0 4 10 10 10 0 4 0 10 10 10 0 7 10 4 0 10 10 4 0 1 10 1 10 10 10 10 10 10 10 4 0 1 10 1 10 4
farg	Gold	3 3 3 3 3 3 3 3 3 3 3 6 3 1 10 3 3 6 9 3 6 1 6 3 3 3 3 3 6 2 3 3 9 3 3 5 6 3 3 3 4 10 3 3 4 3 3 3
goop	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
goop	Relabel model	0 5 0 0 0 4 0 1 0 5 0 0 0 4 0 1 0 0 0 0 1 0 5 0 5 0 0 1 4 0 5 0 1 1 1 1 0 5 0 0 0 0 0 5 4 5 0 5 5 1 4 1 0 1 5 1 3 5 0 5 0 0 0 0 0 5 1 0 0 5 0 0 0 0 4 0 1 5 4 5 5 5 1 1 1 4 5 0 0 0 0 0 1 0 4 0 0 4 5 0 0 1 0 1 5 0 0 0 0 0 0 0 1 1 5 0 0 0 1 0 5 0 0 0 0 1 4 0 1 0 5 1 0 5 5 1 0 4 0 1 0 0 1 0 0 0 5 0 0 0 0 5 1 5 5 5 0 5 0 1 0 1 0 0 1 0 0 0 0 4 0 0 0 4 0 5 4 5 0 0 4 0 0 0 0 0 4 1 0 1 5 0 0 0 1 5 0 5 0 0 5 5 0 0 5 0 0 0 0 0 5 5 4 0 0 1 0 5 1 0 1 5 0 0 0 1 0 0 5 0 4 0 4 0 1 0 0 0 4 4 1 0 5 0 5 0 1 1 0 0 0 5 0 0 0 1 1 5 0 0 0 0 0 1 4 0 5 5 1 5 5 0 5 0 0 0 0 5 0 1 1 1 0 0 0 5 0 0 0 0 5 0 0 0 0 4 4 0 0 0 5 5 5 1
goop	Gold	0 0 0 0 0 0 0 0 0 0 0 4 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 4 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 3 0 0 1 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 4 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 0 0 3 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 4 4 0 3 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
hoer	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
hoer	Relabel model	0 2 2 2 0 2 2 0 0 2 2 2 2 0 0 2 2 2 0 2 0 2 2 2 0 2 0 0 2 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 2 2 0 0 0 2 2 2 0 2 0 2 0 2 0 2 0 2 2 0 0 0 2 0 0 0 2 2 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 1 2 2 2 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 2 0 0 2 2 2 2 0 2 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 1 0 2
hoer	Gold	0 2 0 3 1 1 1 2 5 2 4 1 5 1 1 0 5 5 0 2 5 1 5 5 1 0 1 2 1 0 1 0 1 1 5 1 1 0 1 5 1 4 0 1 5 3 1 0 6 5 5 4 5 1 4 1 1 5 5 1 0 5 4 1 0 1 1 6 0 1 1 4 5 5 1 1 1 5 0 0 1 5 1 0 4 1 1 5 4 1 2 5 4 5 2 5 1 4 5 0 5 0 2 1 1 0 5 1 4 1 1 1 0 1 1 2 1 4 1 5 5 5 4 1 4 6 1 0 5 1 0 1 1 5 0 1 5 2 1 6
huca	Main model	1 1 1 1 1 1 1 1
huca	Relabel model	1 1 1 1 1 1 1 1
huca	Gold	2 0 1 2 0 2 0 0
mpws	Main model	0 0 0 0 0 0 0 0
mpws	Relabel model	0 1 0 0 0 0 0 1
mpws	Gold	0 1 1 2 2 0 1 1
obry	Main model	1 1 1 1 1 1 1 1 1 1
obry	Relabel model	2 2 2 2 2 2 2 2 2 2
obry	Gold	2 1 1 3 1 3 1 1 1 2
para	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
para	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
para	Gold	3 3 4 4 3 2 3 4 4 5 3 2 3 0 2 4 2 0 0 6 1 0 0 6 0 3 5 3
peck	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2
peck	Relabel model	1 1 1 1 1 1 1 1 1 1 1 1 1 1
peck	Gold	2 0 0 0 2 2 2 2 0 2 0 2 2 2
