abbc	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
abbc	Relabel model	1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0
abbc	Gold	1 0 0 0 0 0 1 2 0 1 2 0 1 0 1 1 0 2 0 1 0 1 2 0 0 2 0 2 2 0 2 1 1 0 2 0 0 1 2 0
afck	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
afck	Relabel model	6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
afck	Gold	0 5 2 6 0 0 4 2 2 0 2 2 6 6 0 2 2 0 3 2 0 0 2 6 2 0 0 2 2 6 6 0
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
chct	Relabel model	2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
chct	Gold	0 1 1 1 2 1 2 2 1 2 1 1 2 2 1 3 2 2 2 3 2 2 2 2 1 2 0 1 3 1 2 2
clck	Main model	0 0 0 0
clck	Relabel model	2 2 2 2
clck	Gold	2 0 2 0
faan	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
faan	Relabel model	2 1 1 2 2 2 1 1 1 1 2 1 2 2 1 1
faan	Gold	1 2 0 2 0 2 2 0 0 2 2 0 2 2 0 2
faly	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4
faly	Relabel model	1 1 4 1 1 1 1 1 1 1 1 1 1 1
faly	Gold	1 4 3 0 2 1 3 0 4 0 0 0 2 3
fani	Main model	2 2 2 2
fani	Relabel model	1 1 1 1
fani	Gold	0 1 0 1
farg	Main model	5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
farg	Relabel model	0 4 2 2 2 2 3 2 3 3 3 0 3 3 7 2 0 2 4 0 4 0 2 3 3 0 0 2 2 4 3 0 3 3 4 3 4 3 2 3 3 2 2 3 2 3 3 0
farg	Gold	3 3 3 6 3 3 6 6 3 9 3 3 3 3 3 3 9 2 6 1 4 6 1 3 3 3 3 5 3 3 6 3 3 3 3 3 10 10 3 3 3 3 3 3 6 10 3 3
