abbc	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Relabel model	0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0
abbc	Gold	2 1 0 0 1 0 1 0 2 1 0 2 1 0 0 1 0 0 2 2 1 0 1 0 2 2 1 0 0 1 2 2 0 0 0 0 2 1 2 1
afck	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
afck	Relabel model	6 6 6 4 5 6 6 5 5 6 6 3 6 5 5 6 4 5 6 6 5 4 4 5 5 4 4 3 6 4 6 5
afck	Gold	2 5 6 6 6 0 2 2 0 4 0 0 3 2 0 2 2 6 2 2 0 0 2 0 0 0 6 0 4 2 5 2
bove	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
bove	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
chct	Relabel model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
chct	Gold	1 2 2 0 3 2 3 1 1 3 1 2 2 1 1 2 2 1 2 2 2 2 2 2 1 1 2 0 1 0 2 2
clck	Main model	0 0 0 0
clck	Relabel model	0 0 0 0
clck	Gold	2 0 0 0
faan	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
faan	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
faan	Gold	2 2 2 0 0 2 2 0 2 1 0 0 0 0 0 2
faly	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3
faly	Relabel model	3 0 0 3 1 1 0 1 0 3 0 1 0 3
faly	Gold	1 2 3 1 0 3 4 0 4 1 2 3 3 1
fani	Main model	0 0 0 0
fani	Relabel model	2 2 2 2
fani	Gold	1 0 0 1
farg	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
farg	Relabel model	6 4 4 4 4 6 4 0 6 6 5 5 4 6 4 6 6 6 6 6 4 6 0 6 4 6 4 6 6 4 6 6 6 6 5 6 6 4 0 0 6 6 6 6 6 4 6 4
farg	Gold	10 3 3 4 9 3 3 3 3 1 3 3 3 6 3 3 6 3 9 1 6 3 3 3 3 6 5 6 3 3 3 3 3 6 3 3 3 2 3 10 3 3 3 3 3 9 6 3
goop	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
goop	Relabel model	2 5 2 5 5 2 2 2 5 2 2 2 2 5 2 5 5 5 2 2 5 5 5 5 5 2 5 2 2 2 5 5 2 2 5 5 5 5 5 5 2 5 5 5 2 2 5 5 5 5 2 5 5 5 5 5 2 5 2 2 5 2 0 2 5 2 5 5 5 2 2 2 5 2 5 2 5 5 5 5 2 2 5 2 5 5 2 2 2 5 2 5 2 2 5 2 5 2 2 5 5 5 5 5 2 2 5 5 5 5 2 2 5 2 5 5 2 2 5 2 5 5 2 2 2 2 5 4 2 2 5 2 5 2 2 5 2 5 5 5 5 5 2 2 2 5 5 5 2 2 2 2 5 5 5 2 2 0 2 5 2 2 2 2 5 5 2 5 2 5 2 2 2 5 5 5 2 2 2 2 5 2 2 2 5 0 2 5 2 5 2 5 5 5 2 2 2 2 2 2 2 2 2 5 5 5 5 5 2 2 2 5 2 5 2 5 2 2 2 2 2 5 5 5 5 5 5 5 2 2 2 5 5 5 5 5 5 5 2 2 5 5 2 5 2 5 5 2 5 2 2 5 2 2 2 5 2 5 2 5 5 2 2 2 4 5 5 2 2 5 5 2 2 5 5 5 5 2 2 5 2 5 2 5 5 5 5 2 2 5 2 5 5 2 5 5 5 5 2 5 5 2 5 5
