abbc	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Relabel model	1 1 1 2 1 1 2 0 1 2 2 2 2 1 1 2 2 2 2 2 2 2 1 0 2 2 1 1 0 1 0 2 2 2 1 2 2 0 1 2
abbc	Gold	0 0 0 2 0 1 0 2 0 2 1 0 0 2 0 0 1 0 2 2 1 2 0 0 1 1 2 0 0 0 1 1 1 0 2 1 2 0 2 1
afck	Main model	6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
afck	Relabel model	2 2 2 2 6 2 2 2 2 6 2 2 2 2 6 2 2 2 2 2 2 2 2 2 6 2 2 6 2 6 2 2
afck	Gold	0 6 0 2 2 0 0 2 0 0 5 6 2 0 6 2 3 4 2 0 2 6 2 2 2 2 6 2 3 0 6 6
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
chct	Relabel model	1 3 1 1 1 1 3 3 1 3 1 1 3 1 3 1 1 1 3 1 1 1 2 1 1 1 1 1 3 1 1 1
chct	Gold	2 2 2 1 2 1 3 2 1 1 2 3 0 2 1 2 1 1 3 1 1 2 0 2 1 2 2 2 2 2 1 1
clck	Main model	0 0 0 0
clck	Relabel model	2 2 2 2
clck	Gold	2 0 2 2
faan	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
faan	Relabel model	2 0 0 1 2 0 2 0 0 0 2 0 2 0 0 0
faan	Gold	2 1 0 2 0 2 0 0 2 2 2 2 2 2 2 1
faly	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2
faly	Relabel model	4 4 4 3 2 4 3 3 3 4 3 4 3 4
faly	Gold	3 2 1 4 0 1 3 3 4 2 4 2 3 1
fani	Main model	2 2 2 2
fani	Relabel model	2 0 2 2
fani	Gold	0 1 0 0
