abbc	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
abbc	Relabel model	0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 2 0 2 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 2 0 2 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 2 2 2
abbc	Gold	1 2 2 0 0 0 0 2 0 0 0 0 2 1 0 1 0 0 1 0 0 0 1 2 2 2 0 0 0 0 2 1 1 0 0 1 2 0 1 2 0 0 0 0 0 1 0 2 2 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 2 2 2 0 2 1 2 0 2 2
afck	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
afck	Relabel model	1 0 0 1 5 1 1 1 5 0 5 0 0 0 0 2 1 0 0 5 2 1 5 0 5 0 1 0 5 0 1 0 1 0 0 0 0 0 5 0 0 0 0 0 1 0 0 0
afck	Gold	2 6 2 4 2 3 4 4 0 4 4 3 0 6 6 5 3 6 2 4 2 0 0 0 3 0 0 0 4 2 4 2 6 0 0 0 0 1 2 0 2 4 6 4 6 2 6 0
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 0 0 0 1 0 1 1 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 1 0 1 1 0 0 1 0 1 1 0 1 1 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
chct	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
chct	Relabel model	3 3 1 1 1 1 1 3 1 3 3 3 3 3 3 3 1 3 3 3 3 3 3 1 3 3 3 1 3 1 3 3 3 1 1 1 3 3 3 1 3 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 3 3 3 3
chct	Gold	0 1 2 1 2 2 1 2 1 1 2 1 2 1 2 2 1 1 1 2 2 1 1 2 1 1 1 2 2 1 3 2 1 1 3 2 1 2 0 1 2 1 1 3 2 3 1 1 1 2 1 1 1 1 1 2 1 0 1 1 3 1 1 2
clck	Main model	2 2 2 2 2 2 2 2
clck	Relabel model	0 0 0 0 0 0 0 0
clck	Gold	0 0 0 2 2 0 0 0
faan	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
faan	Relabel model	2 0 0 0 2 0 1 1 2 0 0 1 2 2 0 2 0 0 2 2
faan	Gold	0 1 2 0 2 2 1 0 2 1 0 0 2 1 0 0 2 1 2 2
faly	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
faly	Relabel model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
faly	Gold	3 2 3 3 1 1 2 0 1 3 0 3 1 2 3 1
fani	Main model	0 0 0 0 0 0 0 0
fani	Relabel model	0 0 0 0 0 0 0 0
fani	Gold	1 0 0 0 0 0 1 0
farg	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
farg	Relabel model	1 1 1 1 1 1 6 5 1 1 6 5 5 1 1 1 5 6 1 6 1 5 5 1 6 1 6 1 5 5 1 5 6 1 6 1 6 6 3 1 1 6 6 1 5 1 1 6 6 1 1 1 5 1 1 6 5 1 6 6 5 1 6 1 1 5
farg	Gold	4 3 3 3 3 3 2 3 3 3 3 3 3 3 6 1 6 3 3 3 3 3 3 10 3 6 4 3 3 3 3 3 3 4 4 3 3 1 6 3 6 3 7 3 3 3 6 3 7 3 3 4 3 6 9 4 3 3 4 3 5 3 3 9 3 3
goop	Main model	5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
goop	Relabel model	3 0 3 0 3 3 0 3 0 0 3 3 3 3 3 0 3 0 3 0 3 3 0 0 3 3 0 0 0 3 0 3 3 3 0 0 0 3 3 0 3 0 3 3 3 3 0 3 3 3 0 3 3 0 3 0 3 0 0 3 3 3 0 3 3 3 0 3 3 3 0 3 3 0 3 3 0 0 3 3 3 3 3 3 0 0 3 0 3 3 3 0 0 0 0 0 3 3 0 3 0 3 3 3 0 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 0 3 0 3 3 3 0 0 3 0 3 3 0 3 3 3 0 3 0 3 0 3 3 3 3 3 0 0 3 3 0 3 3 3 3 0 3 3 0 0 3 0 0 3 3 3 3 3 3 3 3 3 3 0 0 0 3 3 3 3 3 0 0 3 3 3 0 0 3 3 3 3 0 0 0 0 3 3 0 3 0 0 3 3 3 0 3 3 3 0 3 0 3 3 0 3 3 0 3 0 0 3 0 0 3 0 3 3 0 3 3 0 0 3 0 3 3 0 3 3 0 3 3 3 0 0 3 3 3 0 3 0 3 3 3 3 0 0 0 3 3 0 3 3 0 3 3 3 3 0 0 3 3 3 3 3 3 3 3 0 0 3 3 0 0 3 3 3 0 0 0 0 3 3 3 3 3 0 0 0 0 0 3 0 0 3 3 0 3 3 3 3 3 3 0 0 0 0 3 3 3 3 0 0 0 0 3 3 3 0 3 0 3 0 3 3 0 3 0 0 3 3 0 0 3 3 3 3 3 0 0 3 0 3 0 3 0 3 3 3 0 3 3 0 3 3 0 3 0 3 3 3 3 0 3 3 3 3 3 0 0 3 3 3 3 3 0 3 0 3 3 3 0 3 3 3 3 3 3 0 0 0 0 0 3 3 0 3 3 0 0 3 3 0 0 0 0 3 0 0 3 3 3 0 3 0 3 3 3 3 0 3 0 0 3 3 3 3 3 0 0 0 3 3 0 0 3 0 0 3 3 0 0 3 3 3 3 3 0 0 0 0 3 0 3 0 3 3 0 0 0 3 3 0
goop	Gold	1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 4 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 1 4 0 0 1 0 1 0 4 3 1 0 0 0 0 1 1 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 3 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 3 1 0 0 1 1 3 0 3 1 0 0 0 3 1 0 0 0 0 1 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 3 1 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 4 1 0 1 0 0 0 0 1 0 0 1 1 0 3 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 1
