abbc	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Relabel model	2 0 2 2 2 2 0 2 1 1 2 1 2 0 2 0 2 2 2 0 1 2 1 2 2 1 0 0 1 2 2 2 2 2 2 2 1 1 2 1
abbc	Gold	2 1 2 0 0 1 0 0 0 0 1 1 1 2 2 2 0 2 1 0 0 2 2 0 1 0 0 2 0 0 1 0 0 1 0 1 0 0 1 2
afck	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
afck	Relabel model	6 6 6 0 6 2 2 2 6 6 6 0 2 6 2 6 6 2 0 6 2 6 6 2 0 6 6 2 6 6 2 6
afck	Gold	2 0 2 2 2 4 2 6 0 0 6 6 2 6 5 0 2 2 0 0 0 2 0 3 0 2 0 2 6 0 2 2
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	1 1 1 1 0 1 1 1 0 1 0 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 0 0 1 1 1 1
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
chct	Relabel model	1 3 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
chct	Gold	1 2 0 2 1 1 0 2 3 1 1 2 1 2 2 1 1 2 1 2 2 2 3 2 2 2 1 3 2 1 2 1
clck	Main model	0 0 0 0
clck	Relabel model	0 1 0 0
clck	Gold	2 0 2 2
faan	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
faan	Relabel model	0 1 2 0 2 2 0 2 1 0 1 2 2 0 0 1
faan	Gold	0 2 2 2 0 2 2 0 0 1 2 2 0 2 2 2
faly	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4
faly	Relabel model	3 1 3 1 3 3 1 3 1 3 1 3 1 3
faly	Gold	0 1 4 1 3 3 2 4 2 4 1 3 1 3
fani	Main model	2 2 2 2
fani	Relabel model	0 0 0 0
fani	Gold	0 1 0 0
farg	Main model	5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
farg	Relabel model	1 8 0 1 1 1 4 1 0 1 8 1 1 8 0 1 1 8 4 4 8 1 1 0 1 4 0 8 4 1 0 0 8 0 4 4 1 0 4 1 1 0 1 0 0 8 1 1
farg	Gold	3 6 3 5 3 10 3 10 3 3 3 2 9 3 3 6 3 3 3 3 6 3 3 3 3 3 3 3 6 6 9 6 3 3 3 4 1 3 3 3 3 1 6 3 6 6 3 6
goop	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
goop	Relabel model	4 3 3 3 3 3 1 3 3 3 3 4 3 3 3 3 3 2 3 3 3 3 3 3 3 3 2 3 3 3 3 3 3 3 4 1 3 2 4 2 3 1 3 3 3 3 2 1 3 1 3 3 2 1 4 3 3 3 3 3 3 3 3 3 3 4 3 1 1 3 1 4 1 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 1 3 3 1 3 1 3 3 3 1 3 3 2 1 4 3 3 3 3 3 3 3 3 3 3 3 3 3 2 3 2 3 3 1 3 3 1 3 1 3 3 1 1 1 4 3 1 3 3 3 3 3 1 3 4 3 3 3 3 3 3 3 4 4 1 3 3 1 3 3 3 1 3 3 1 3 3 3 3 4 3 3 3 4 4 3 3 3 3 3 3 3 3 3 3 4 3 1 3 3 3 4 3 1 1 3 3 3 3 3 3 4 3 3 1 3 3 1 3 3 3 3 3 3 3 3 3 3 3 4 2 1 3 4 3 2 3 3 1 3 3 3 3 3 3 3 1 3 3 3 3 4 3 3 4 3 1 3 3 3 3 3 3 3 3 3 3 3 3 1 3 3 1 1 2 3 1 3 1 3 3 3 3 3 1 3 1 1 3 3 4 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4
goop	Gold	0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 4 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 3 1 3 0 0 0 1 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 4 0 0 0 3 0 0 0 0 0 1 0 0 0 3 0 0 0 1 1 0 0 0 0 1 0 0 3 0 0 0 0 0 1 1 0 0 0 3 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hoer	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
hoer	Relabel model	4 1 4 2 2 2 4 4 4 1 1 2 4 1 4 2 1 2 1 1 2 1 4 4 2 4 4 1 1 1 2 4 4 4 2 1 4 0 4 4 1 2 2 4 1 2 1 2 1 4 4 1 2 2 4 4 0 1 4 4 2 2 0 1 1 4 1 0 1 2 4 4 1 1 4 0 1 2 4 4 1 1 1 2 1 4 4 2 4 4 2 4 0 4 1 2 4 1 2 1 1 2 2 4 2 1 1 4 1 0 2 1 2 1 4 2 4 1 1 4 2 4 1 2 1 4 2 2 4 1 0 1 2 4 4 1 2 1 4 4
hoer	Gold	5 1 1 5 4 1 5 0 1 0 6 0 1 2 5 4 1 5 1 3 6 0 1 5 2 5 2 4 1 0 1 4 1 1 5 1 0 2 2 5 1 1 0 1 4 5 1 1 1 1 4 1 5 0 0 0 4 4 0 5 1 5 2 1 1 5 1 1 0 1 5 5 1 5 6 4 1 5 3 0 1 5 1 5 1 0 5 0 1 0 5 1 5 4 5 5 1 4 5 1 5 5 5 1 1 0 1 4 0 1 1 4 0 1 1 2 1 1 1 4 0 1 5 1 1 0 0 2 1 5 2 5 1 1 2 5 1 1 1 1
huca	Main model	1 1 1 1 1 1 1 1
huca	Relabel model	2 2 2 2 2 2 2 2
huca	Gold	1 2 0 2 0 2 0 2
mpws	Main model	1 1 1 1 1 1 1 1
mpws	Relabel model	0 0 0 0 0 0 0 0
mpws	Gold	0 1 1 2 0 0 1 0
obry	Main model	3 3 3 3 3 3 3 3 3 3
obry	Relabel model	3 3 3 3 3 3 3 3 3 3
obry	Gold	1 2 3 1 1 1 2 2 1 2
para	Main model	6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
para	Relabel model	0 2 1 2 2 2 0 2 2 6 6 2 2 0 2 2 6 6 6 6 2 6 2 2 6 6 2 2
para	Gold	3 4 0 3 4 3 0 3 4 2 0 2 0 6 2 4 3 3 2 4 1 5 3 3 5 2 3 2
peck	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2
peck	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0
peck	Gold	2 0 2 0 2 0 2 2 0 2 2 2 2 2
pomt	Main model	5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
pomt	Relabel model	2 4 7 2 7 4 4 4 7 7 7 2 4 7 7 2 7 9 7 7 4 2 7 7 4 7 7 7 7 2 7 7 7 7 4 7 7 7 4 2 2 4 4 7 7 4 7 7 4 7 2 7 4 7 4 7 7 4 7 4 7 7 4 7 7 2 7 2 7 7 7 7 7 7 4 7 7 7 4 4 2 7 2 7 2 4 4 7 7 4 7 4 2 7 7 2 7 4 7 7 7 7 7 2 4 7 7 7 3 7 4 2 2 7 7 4 7 7 2 7 4 7 7 7 7 7 7 7 7 7 7 7 7 7 7 2 4 7 4 2 7 2 2 7 2 4 3 4 7 3 7 7 7 7 7 7 2 7 4 7 4 2 7 7 2 4 7 4 7 2 7 7 2 2 7 7 3 7 4 7 4 7 7 7 7 7 2 2 7 4 7 7 4 4 7 4 3 7 7 7 7 7 7 4 4 7 7 4 4 4 4 7 7 2 4 7 3 2 2 7 7 4 7 7 4 2 4 4 4 7 7 7 7 3 2 4 7 7 2 4 2 2 7 4 7 7 7 7 7 2 4 7 2 7 7 4 4 7 7 7 2 7 7 3 4 3 2 7 4 7 7 4 2 7 4 4 3 4 7 4 4 7 4 4 7 2 4 7 7 2 7 7 4 7 2 7 4 7 2 7 4 4 7 2 2 7 7 7 7 4 2 7 7 4 4 4 4 7 4 7 7 2 4 7 4 4 2 7 7 4 7 7 4 4 7 2 7 2 2 4 7 4 7 4 2 7 2 7 4 7 4 4 7 4 7 7 7 2 4 7 2 7 2 2 7 2 2 2 7 4 7 7 7 7 7 7 7 7 4 2 7 7 2 4 7 7 7 7 4 4 4 2 3 4 7 4 7 7 7 4 7 7 2 4 4 2 2 7 7 7 7 7 7 7 7 2 2 4 2 4 7 4 4 7 7 7 3 7 7 7 4 7 4 7 2 7 4 7 4 7 2 7 4 7 2 7 2 7 7 4 7 4 7 7 7 7 4 7 2 2 7 2 2 2 2 7 2 7 4 2 7 7 4 7 2 4 2 7 7 2 7 2 7 7 7 2 7 2 7 7 2 4 4 4 2 7 7 7 7 7 7 7 7 4 7 7 7 4 7 7 7 7 7 7 4 4 7 4 7 7 3 7 4 2 7 7 7 7 2 4 4 4 7 7 4 7 2 4 7 7 7 7 7 2 7 7 7 7 7 7 7 7 7 7 7 7 4 7 4 4 2 7 7 2 7 4 2 7 7 2 2 4 7 7 7 2 4 2 7 3 7 7 2 2 7 7 7 4 4 7 7 7 7 7 7 7 4 4 7 2 7 7 7 7 2 7 7 7 2 7 7 4 7 7 4 2 7 7 4 7 4 7 7 7 7 7 4 7 7 4 2 4 4 7 7 7 7 7 2 2 2 4 7 7 7 4 7 4 7 7 7 4 7 7 2 3 7 7 4 7 4 4 7 4 4 7 7 4 2 7 7 4 2 7 7 2 7 7 2 2 4 7 4 2 3 2 7 4 7 2 4 4 4 7 4 7 7 4 2 4 7 7 4 7 7 2 7 4 7 2 7 2 4 2 7 4 4 7 2 7 2 4 3 7 7 7 7 7 7 3 7 7 7 7 7 4 7 7 7 7 2 2 4 7 2 2 7 7 2 7 7 7 4 7 7 4 7 4 4 7 7 2 7 7 7 7 7 2 4 7 2 2 7 7 7 7 7 4 7 2 4 4 4 4 7 7 7 2 7 2 7 7 2 7 2 7 4 2 4 4 7 7 2 2 4 4 2 7 7 4 2 4 4 7 7 7 7 7 7 4 7 7 2 4 7 7 7 7 7 4 3 3 4 2 7 4 7 7 4 3 3 7 3 4 3 7 7 3 2 7 7 4 4 7 4 7 7 7 2 7 7 7 7 2 7 7 4 7 7 7 2 2 2 7 7 4 2 4 4 7 7 4 7 7 2 7 2 7 2 4 7 7 7 4 4 7 3 4 7 7 2 4 4 2 7 4 7 7 2 2 2 7 4 7 2 7 7 7 2 4 7 7 7 7 7 7 7 7 4 2 7 7 2 7 7 7 7 4 2 2 7 7 7 7 7 4 7 2 4 7 7 7 2 7 7 3 2 7 7 4 4 7 2 7 7 7 7 7 7 2 7 7 4 4 2 7 7 7 7 7 4 7 7 7 2 7 4 7 7 2 4 7 2 4 7 4 7 7 7 4 7 7 7 7 4 4 2 2 4 2 7 3 2 2 2 4 7 2 7 2 7 7 4 4 2 4 7 4 4 7 3 4 2 7 3 7 3 4 7 2 2 7 4 7 7 2 2 7 2 7 4 2 7 7 7 7 7 2 7 4 7 3 4 2 2 7 4 2 7 7 7 7 7 7 7 7 7 4 2 7 2 7 2 7 4 7 2 2 7 3 7 2 2 7 7 2 7 7 2 2 4 4 7 4
pomt	Gold	4 6 9 1 8 4 4 1 4 1 6 9 1 5 6 4 1 3 9 9 2 5 1 4 2 5 8 4 4 4 4 1 6 9 5 6 9 1 1 9 5 4 9 8 4 6 5 5 8 1 5 9 6 2 6 5 4 1 1 8 4 5 1 9 6 8 6 9 9 1 4 9 9 4 1 6 4 1 6 4 6 6 6 9 8 5 1 3 5 1 6 9 6 9 1 8 4 1 1 4 6 5 6 4 1 1 5 5 9 5 1 6 5 5 6 8 4 9 4 1 5 1 4 9 4 4 4 1 4 5 1 5 1 6 4 4 9 4 8 4 6 9 1 6 8 1 5 5 1 5 9 1 6 5 5 4 8 5 5 6 1 9 9 6 6 8 1 6 6 9 4 4 6 8 1 5 8 8 9 9 8 4 1 5 6 8 5 8 6 4 9 5 5 6 8 5 8 6 5 2 5 6 4 6 9 6 4 1 9 8 2 8 9 5 9 1 4 9 6 4 5 5 4 8 4 4 6 8 8 8 4 8 9 1 1 8 9 4 8 9 1 4 1 8 6 4 6 1 6 4 5 1 6 2 9 6 8 4 9 8 6 1 1 9 1 5 9 2 9 4 8 4 9 1 4 2 9 1 9 9 5 9 8 5 2 4 4 6 9 9 1 9 9 1 6 5 4 6 9 1 5 4 8 6 1 1 6 5 6 1 1 4 9 9 4 5 1 3 6 4 6 1 5 4 5 8 4 8 6 9 6 5 4 5 5 5 5 1 1 6 8 2 9 8 8 4 6 4 1 1 9 6 5 3 9 4 1 6 4 9 6 7 6 6 1 1 9 1 9 9 9 1 8 9 9 8 7 6 9 5 6 6 5 1 6 9 5 5 1 5 1 2 9 1 1 6 4 1 6 5 8 6 4 9 1 5 4 6 2 4 9 4 6 6 4 9 1 4 4 9 5 1 6 4 5 8 1 4 9 9 9 5 1 5 5 2 9 4 9 1 1 4 4 2 5 6 1 1 4 2 8 8 6 4 5 6 5 9 5 5 4 4 9 9 4 1 5 6 5 1 4 8 5 6 5 6 1 9 9 1 6 5 6 5 9 6 6 4 1 5 9 9 4 4 1 6 5 5 1 6 6 8 8 4 3 5 9 5 5 6 9 4 9 1 6 8 8 8 8 8 9 9 1 9 1 9 4 8 1 8 5 6 4 5 4 6 6 9 3 5 4 4 1 1 6 6 5 5 4 6 1 9 1 1 8 6 6 8 1 9 9 4 5 1 3 4 6 1 6 6 4 5 1 5 4 5 8 9 9 8 6 9 4 6 6 4 5 6 4 6 4 1 9 4 4 9 1 6 4 4 9 9 9 5 4 5 4 8 6 8 4 0 6 5 4 6 1 9 5 4 8 9 8 6 1 8 4 5 5 6 6 4 5 1 8 6 0 9 1 4 5 4 5 5 1 8 5 5 1 9 6 5 4 6 5 1 1 6 8 5 1 6 1 1 5 4 6 9 8 9 1 5 5 5 6 9 3 5 8 6 4 8 4 9 9 6 1 8 6 6 5 9 8 5 1 9 1 8 4 6 6 1 8 1 6 5 9 6 6 6 6 9 4 9 6 4 2 8 4 6 9 1 5 8 2 9 4 4 8 8 1 8 2 4 6 6 5 6 9 8 1 1 5 4 9 1 5 5 1 8 5 1 9 6 1 4 4 5 4 4 5 6 8 9 5 8 6 8 4 8 1 9 8 5 5 5 1 5 6 4 5 6 9 4 8 6 4 8 9 4 1 4 6 6 6 5 5 9 1 4 9 4 1 4 8 8 4 8 1 6 6 1 1 1 5 6 9 4 9 1 4 6 6 6 5 6 1 9 5 4 4 6 5 4 9 1 9 1 5 2 1 5 4 5 8 5 8 8 9 4 8 9 9 8 5 5 4 8 9 9 5 1 1 9 5 1 4 5 6 8 5 9 1 8 8 4 6 6 4 2 1 9 9 9 5 1 8 8 5 5 1 6 4 6 9 6 9 8 9 3 9 9 1 5 4 5 6 1 6 1 9 4 5 4 6 1 6 9 6 5 8 1 6 5 9 4 1 6 5 6 1 8 4 5 9 6 8 6 5 4 9 4 4 4 4 9 1 8 4 6 6 6 6 5 5 5 4 5 4 1 9 6 9 8 5 5 6 6 9 4 1 8 5 4 4 8 4 6 1 1 5 8 4 5 9 8 1 1 9 4 5 5 9 4 8 8 9 5 8 4 6 2 4 4 9 8 1 1 4 6 6 7 4 5 1 9 6 1 8 5 6 4 1 4 9 9 1 9 9 9 6 2 9 5 4 1 5 8 9 6 5 8 1 6 4 9 1 4 8 4 1 4 6 4 8 1 8 5 6 6 8 9 1 4 4 3 5 6 2 9 1 1 4 6 6 5 4 6 4 5 4 8 5 9 1 4 5 8 6 3 1 5 4 1 6 1 5 6 8 6 6 5 9 1
pose	Main model	6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
pose	Relabel model	7 12 7 7 7 7 7 7 7 7 7 7 7 12 7 7 7 7 7 12 7 7 7 7 7 7 7 7 7 7 0 7 7 7 12 7 7 7 7 7 7 12 7 7 7 7 12 7 7 7 7 7 7 7 7 7 7 7 7 7 7 12 7 7 12 7 12 7 12 7 7 12 7 7 7 7 7 7 7 7 7 12 7 12 7 7 7 7 7 7 7 7 7 12 7 12 12 7 7 7 12 12 7 7 7 12 7 7 7 7 7 7 7 7 7 7 12 7 12 7 7 7 12 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7
pose	Gold	10 10 11 4 10 1 7 10 1 4 10 10 4 10 11 10 9 4 9 10 4 10 7 9 10 10 10 12 9 9 4 1 1 9 10 10 10 1 10 10 10 9 1 10 9 4 10 10 9 10 4 9 1 10 10 1 4 7 10 7 1 1 10 1 9 10 9 10 7 10 4 9 9 1 7 10 10 7 10 10 10 4 4 1 10 10 10 10 10 10 9 10 1 9 10 10 7 10 10 9 10 10 10 5 10 10 10 10 9 9 1 9 10 11 9 9 10 10 10 7 1 1 1 4 10 10 10 10 9 9 10 1 10 7 1 10 9 10 10 12 11 10 10 9
ranz	Main model	0 0 0 0
ranz	Relabel model	0 0 0 0
ranz	Gold	1 0 1 1
