abbc	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Relabel model	2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 0 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2
abbc	Gold	0 0 2 1 1 1 1 0 1 2 0 0 1 2 0 1 0 0 2 2 2 2 0 0 0 0 0 2 2 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 2 0 1 2 2 1 0 1 0 0 0 0 2 0 2 1 0 0 0 0
afck	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
afck	Relabel model	2 2 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 0 2
afck	Gold	4 4 6 6 0 3 1 2 2 0 4 0 4 3 4 3 6 0 0 2 2 4 4 2 0 0 6 4 0 2 0 3 0 6 6 2 0 0 2 2 2 4 6 0 4 6 5 2
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
chct	Relabel model	0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Gold	3 1 2 1 1 2 1 1 3 2 1 2 1 1 1 2 2 0 2 1 1 2 1 2 2 1 1 2 1 1 1 2 2 1 1 2 2 2 1 1 2 1 0 1 1 2 1 1 1 1 3 1 2 1 1 2 3 1 1 1 2 0 0 1
clck	Main model	0 0 0 0 0 0 0 0
clck	Relabel model	2 2 2 2 2 2 2 2
clck	Gold	0 0 0 2 0 0 0 0
faan	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
faan	Relabel model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
faan	Gold	0 2 0 2 0 2 0 1 1 0 2 1 2 0 2 1 0 1 1 0
faly	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
faly	Relabel model	4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
faly	Gold	0 3 0 1 1 3 1 2 3 3 2 3 3 2 3 0
fani	Main model	1 1 1 1 1 1 1 1
fani	Relabel model	0 2 0 2 2 0 2 0
fani	Gold	0 1 0 0 0 0 0 0
farg	Main model	6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
farg	Relabel model	7 9 5 5 7 9 9 9 9 9 5 9 9 9 9 5 2 9 9 9 5 9 9 9 5 5 5 5 5 9 9 2 5 9 9 9 9 9 9 9 7 9 7 9 9 7 5 5 9 5 9 9 2 5 9 9 9 2 9 2 9 9 5 5 7 9
farg	Gold	3 3 3 3 1 3 3 6 3 3 3 3 3 3 3 3 4 2 3 1 3 3 3 3 4 3 3 6 10 3 3 3 6 3 4 7 3 3 3 3 3 4 3 3 3 9 6 3 7 9 3 4 5 4 3 3 3 6 3 3 3 6 6 4 3 3
goop	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
