abbc	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Relabel model	2 2 2 0 1 1 1 2 2 1 2 2 2 2 1 2 1 2 2 2 2 2 1 1 2 2 2 1 2 2 1 2 2 2 1 2 1 2 2 1 1 1 1 2 1 1 1 2 1 2 2 2 1 1 1 2 2 2 1 1 1 2 2 2 1 1 2 2 2 2 1 1 2 2
abbc	Gold	0 2 2 0 0 2 2 2 2 2 0 1 0 0 2 0 1 0 0 1 1 0 2 0 2 1 1 0 1 0 0 2 0 0 2 0 0 1 0 0 0 2 2 0 0 1 0 0 0 0 0 0 0 1 1 1 0 2 1 0 0 1 0 0 0 2 0 0 0 2 0 2 1 2
afck	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
afck	Relabel model	1 5 3 6 6 5 6 6 1 1 3 1 6 6 5 6 5 3 6 6 6 6 6 5 6 6 6 6 6 3 5 6 5 1 5 2 2 1 5 6 6 5 1 6 6 6 6 6
afck	Gold	2 0 2 0 6 2 6 6 2 5 0 3 4 0 0 6 0 3 0 4 6 2 4 2 2 4 0 0 4 6 3 6 6 3 4 4 0 2 4 4 0 0 2 4 0 2 1 4
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 1 1 0 0 1 0 1 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 1 1 1 0 0 0 1 1 0 0 1 1 0 1 1 1 0 1 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
chct	Relabel model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 1 2 2 2 2 2 3 2 2 1 2 2 2 2
chct	Gold	2 1 1 1 1 2 2 2 0 1 1 2 2 1 1 1 2 1 3 2 1 2 2 2 1 1 1 0 1 2 1 1 1 1 1 1 1 1 1 2 1 3 1 1 2 2 1 1 3 2 1 2 3 2 2 1 2 3 2 1 1 1 0 1
clck	Main model	0 0 0 0 0 0 0 0
clck	Relabel model	0 0 0 0 0 0 0 0
clck	Gold	0 2 0 0 0 0 0 0
faan	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
faan	Relabel model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
faan	Gold	2 0 2 1 2 0 0 2 2 1 2 0 1 0 0 0 1 1 2 1
faly	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
faly	Relabel model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
faly	Gold	3 1 3 0 1 0 2 1 3 3 2 0 2 3 3 2
fani	Main model	0 0 0 0 0 0 0 0
fani	Relabel model	1 1 1 1 1 1 1 1
fani	Gold	1 0 0 0 1 1 0 1
farg	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
farg	Relabel model	9 10 10 10 10 10 10 10 9 9 9 10 9 10 10 10 10 10 10 9 10 10 9 10 10 10 10 10 10 10 9 10 10 10 10 9 10 9 10 10 10 9 10 9 10 10 9 10 10 10 9 10 9 6 10 10 10 9 9 9 10 9 8 10 9 9
farg	Gold	3 3 3 3 1 3 3 6 10 6 4 3 6 3 4 3 3 3 3 4 4 3 1 3 3 3 3 3 3 7 4 3 3 6 3 6 5 6 3 3 3 9 3 3 3 7 9 4 3 3 3 3 3 4 3 3 3 2 3 3 3 3 3 3 6 10
