abbc	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Relabel model	2 2 2 0 0 2 2 2 2 2 2 0 2 2 0 1 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2
abbc	Gold	2 2 0 2 0 0 1 0 1 0 1 2 0 2 1 0 1 2 2 1 0 0 0 0 0 2 1 1 0 0 2 0 0 1 0 1 1 1 1 0
afck	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
afck	Relabel model	1 4 1 4 1 4 1 1 4 4 4 1 4 4 4 4 4 4 1 4 1 1 4 0 1 4 4 1 1 0 1 4
afck	Gold	3 0 2 0 2 6 0 2 6 2 6 0 0 0 2 2 2 0 5 0 4 6 2 2 2 0 2 0 2 2 2 0
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
chct	Relabel model	0 0 2 3 0 0 0 2 0 0 1 1 0 0 0 0 1 2 0 2 0 2 0 0 2 0 2 0 0 3 0 0
chct	Gold	1 1 2 2 2 2 2 2 0 1 1 1 2 2 2 2 2 3 2 2 2 1 1 1 3 1 0 1 3 2 2 1
clck	Main model	2 2 2 2
clck	Relabel model	0 0 0 0
clck	Gold	2 0 2 0
faan	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
faan	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
faan	Gold	2 2 2 0 0 0 0 2 2 2 1 2 2 2 2 0
faly	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3
faly	Relabel model	4 0 1 4 1 4 4 4 1 4 4 4 1 4
faly	Gold	1 2 3 0 4 3 1 0 3 3 1 3 3 1
fani	Main model	0 0 0 0
fani	Relabel model	1 0 1 1
fani	Gold	1 0 1 1
farg	Main model	7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7
