abbc	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
abbc	Relabel model	1 0 1 0 2 1 0 1 0 1 1 0 1 1 0 0 0 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
abbc	Gold	0 0 0 0 0 2 2 0 1 1 1 1 0 0 2 0 1 0 1 1 1 0 2 0 1 2 0 1 2 2 2 0 2 0 0 0 0 0 0 2
afck	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
afck	Relabel model	5 5 6 5 5 6 6 5 6 5 5 6 6 6 5 5 6 6 6 6 5 6 4 5 6 6 6 5 5 5 5 5
afck	Gold	0 6 0 6 2 0 0 2 4 2 6 3 2 2 0 0 5 6 2 2 0 2 0 2 0 2 4 2 2 0 6 6
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	1 0 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
chct	Relabel model	0 2 3 0 3 0 0 0 0 3 2 3 3 2 0 3 0 3 3 0 2 0 0 0 0 0 0 0 0 3 3 2
chct	Gold	2 2 2 1 3 2 0 1 1 0 1 2 1 1 3 3 2 2 1 2 2 1 1 2 2 2 1 2 2 1 2 1
clck	Main model	0 0 0 0
clck	Relabel model	1 2 1 2
clck	Gold	2 0 2 0
faan	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
faan	Relabel model	1 0 1 0 0 0 0 1 0 1 1 1 1 1 0 1
faan	Gold	0 2 2 0 1 2 0 2 2 0 2 0 0 2 2 2
faly	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4
faly	Relabel model	1 1 1 1 1 1 1 1 1 1 1 1 1 1
faly	Gold	1 3 0 4 1 3 2 4 1 3 4 1 3 4
fani	Main model	2 2 2 2
fani	Relabel model	1 1 1 1
fani	Gold	0 1 1 0
