abbc	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Relabel model	1 1 1 1 0 1 0 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 0 0 0 1 1 1 1 1 0 0 1 0 1
abbc	Gold	0 2 1 1 2 1 0 0 0 0 1 1 0 1 2 0 1 0 0 2 2 0 0 2 0 0 1 0 1 1 0 0 2 0 2 2 0 1 1 0
afck	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
afck	Relabel model	2 6 6 5 6 2 6 5 2 6 5 2 6 5 6 2 6 5 6 5 5 2 5 5 6 6 5 5 5 5 2 2
afck	Gold	2 2 0 4 5 2 6 2 0 0 0 0 2 2 3 0 0 2 0 6 2 6 2 6 3 2 2 2 2 2 0 0
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
chct	Relabel model	3 1 3 3 3 3 3 3 3 0 3 3 1 3 3 1 3 1 0 3 3 3 3 3 3 0 3 3 3 3 3 3
chct	Gold	0 2 2 2 2 1 1 2 1 2 1 1 3 3 2 2 2 3 2 2 1 0 2 2 1 1 1 2 1 1 1 2
clck	Main model	0 0 0 0
clck	Relabel model	1 1 1 1
clck	Gold	0 2 2 0
faan	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
faan	Relabel model	1 1 1 1 1 2 1 2 1 1 2 2 2 1 1 1
faan	Gold	2 0 2 2 0 2 0 2 2 1 0 0 2 1 2 0
faly	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3
faly	Relabel model	1 3 1 3 1 1 1 1 1 1 1 1 3 3
faly	Gold	3 1 3 1 2 4 0 3 3 4 4 3 1 1
fani	Main model	0 0 0 0
fani	Relabel model	2 0 2 0
fani	Gold	1 0 1 0
farg	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
farg	Relabel model	5 5 5 1 1 1 5 1 1 5 5 1 1 1 5 1 1 1 1 5 1 1 5 5 1 1 1 10 1 1 5 1 5 8 1 1 5 1 1 5 5 1 5 5 10 1 1 1
farg	Gold	5 6 4 3 3 6 3 3 6 6 3 3 3 9 2 3 3 3 3 3 1 3 10 3 3 3 3 1 3 9 3 6 3 6 3 10 3 3 3 3 3 3 3 4 1 6 3 3
goop	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
goop	Relabel model	1 0 1 0 3 0 1 1 1 3 1 3 1 1 1 1 0 1 3 1 1 1 1 3 3 3 1 1 1 1 0 3 1 1 1 1 1 0 1 1 1 1 1 3 3 3 3 1 3 0 1 3 3 1 0 1 1 3 1 1 3 1 3 1 1 1 3 1 1 3 1 3 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 3 0 1 1 0 1 0 1 1 1 3 3 1 0 0 3 1 1 1 3 1 3 1 1 1 1 0 1 0 1 1 0 1 1 3 0 1 3 3 3 3 1 1 1 1 1 1 3 0 3 1 3 1 0 1 1 1 1 1 3 1 0 1 3 1 3 0 1 0 1 1 1 3 0 3 1 1 3 1 3 1 1 0 1 1 1 1 3 1 1 3 1 1 0 1 3 0 0 1 1 2 1 0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 3 1 1 1 3 1 1 1 3 1 0 1 1 3 3 0 1 3 0 0 1 3 3 1 1 3 0 3 1 1 0 1 1 3 3 1 3 1 3 3 1 1 1 1 3 3 1 1 1 3 1 1 3 1 3 1 1 1 1 1 1 1 0 1 1 1 1 1 3 3 1 1 1 1 1 1 1 1 2 3 1 1 1 1 1 0 1 3 3 1 0 3 1 1 1 1 3 3
goop	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3 0 0 0 0 0 0 0 0 0 4 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 1 0 1 0 4 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 4 0 0 0 0 1 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0 0 3 0 0 4 3 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 3 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0
hoer	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
hoer	Relabel model	3 2 2 2 3 3 6 3 6 2 1 3 3 5 2 3 3 3 6 2 3 6 3 2 6 3 2 2 2 2 6 2 3 6 5 6 3 2 2 3 1 2 2 1 3 3 3 2 2 3 2 2 2 2 5 2 2 6 6 1 6 2 2 5 6 2 3 2 6 2 3 3 1 5 3 2 5 3 3 5 3 2 2 2 5 3 2 2 1 3 2 3 2 6 2 2 2 2 2 2 3 1 5 3 6 6 2 6 3 5 3 2 5 6 2 3 2 2 3 5 3 3 2 3 3 3 3 3 3 6 2 2 5 3 2 5 1 3 5 2
hoer	Gold	2 5 4 1 1 5 0 5 1 0 1 5 5 1 5 0 5 4 0 2 1 1 0 4 4 1 5 5 0 0 1 1 5 0 5 0 1 1 1 5 1 1 1 1 4 1 1 0 6 2 2 2 4 5 1 1 0 5 1 5 1 5 1 0 0 1 3 5 1 1 1 0 0 1 4 4 1 5 1 4 4 2 0 1 2 2 1 3 1 5 5 5 5 1 1 4 1 5 5 0 5 1 5 6 5 2 1 1 6 1 0 0 1 1 1 5 5 4 1 1 1 5 1 5 4 0 0 5 1 1 1 1 4 0 4 5 1 0 4 2
huca	Main model	1 1 1 1 1 1 1 1
huca	Relabel model	1 1 1 1 1 1 1 1
huca	Gold	2 2 1 0 1 1 0 1
mpws	Main model	0 0 0 0 0 0 0 0
mpws	Relabel model	0 0 0 0 0 0 0 0
mpws	Gold	0 1 1 2 0 1 1 1
obry	Main model	0 0 0 0 0 0 0 0 0 0
obry	Relabel model	3 3 3 3 3 3 3 3 3 3
obry	Gold	2 3 1 1 1 2 1 1 3 1
para	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
