abbc	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
abbc	Relabel model	1 1 0 2 0 0 0 2 0 0 0 0 2 0 1 2 0 2 1 0 0 0 0 0 1 0 0 2 0 2 0 0 1 0 0 0 0 0 0 1
abbc	Gold	2 0 0 0 0 2 0 2 1 2 1 0 1 2 0 0 0 0 2 0 1 1 0 0 1 1 2 0 1 0 2 1 0 1 2 0 0 1 0 0
afck	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
afck	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
afck	Gold	0 3 6 2 2 4 6 2 2 0 0 2 6 2 2 0 2 2 0 0 0 6 0 5 4 2 6 0 2 2 0 0
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Relabel model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
chct	Gold	0 1 1 2 2 1 2 2 1 2 2 2 0 1 1 3 2 2 1 2 1 3 2 2 3 1 2 2 1 2 0 2
clck	Main model	0 0 0 0
clck	Relabel model	2 2 2 2
clck	Gold	2 0 2 2
faan	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
faan	Relabel model	0 0 0 1 1 1 0 1 1 1 0 1 1 0 1 1
faan	Gold	0 2 2 1 0 0 0 2 2 2 2 0 2 2 2 1
faly	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1
faly	Relabel model	3 3 3 3 3 3 3 3 3 3 3 3 3 3
faly	Gold	1 0 3 4 3 1 2 3 3 3 0 3 4 4
fani	Main model	0 0 0 0
fani	Relabel model	2 2 2 2
fani	Gold	1 0 0 0
farg	Main model	8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
farg	Relabel model	3 3 3 3 1 3 10 3 3 7 3 1 1 10 3 3 1 4 10 3 1 3 3 9 3 10 1 9 1 3 10 10 10 1 3 3 1 3 3 3 3 1 3 10 10 3 10 3
farg	Gold	6 3 3 3 3 6 9 3 3 3 3 3 1 10 3 3 3 6 3 5 3 6 3 9 2 3 3 3 3 1 3 3 3 6 4 10 3 3 3 3 3 6 3 10 10 6 3 3
goop	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
goop	Relabel model	2 1 1 1 1 2 2 1 2 2 2 2 2 2 2 1 2 1 1 1 1 2 2 2 1 1 1 2 1 2 2 1 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 1 1 2 2 2 1 2 2 1 2 2 2 2 2 2 2 2 2 1 2 2 2 1 2 2 1 2 2 1 1 2 2 2 2 2 1 2 1 2 2 2 2 2 2 1 1 2 2 1 2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 2 1 2 2 2 1 2 1 2 2 2 2 2 2 2 2 2 2 1 2 2 2 1 1 2 2 1 2 2 1 2 2 1 2 1 2 2 2 2 2 2 2 1 1 2 2 2 2 2 2 1 1 2 2 1 2 1 1 2 2 2 1 1 2 1 2 2 1 2 2 2 2 2 1 2 2 2 1 2 2 2 1 2 1 1 2 2 1 1 2 1 2 2 2 2 1 2 2 2 1 2 2 2 2 2 2 2 2 1 2 2 2 1 2 1 1 2 2 1 2 2 1 1 1 2 1 2 2 2 2 2 2 2 2 1 1 2 2 2 2 2 2 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 2 1 1 2 2 1 2 2 2 2 2 2 1 2 2 1 1 1 1 2 2 2 2 2 2 2
goop	Gold	0 0 0 1 0 0 0 0 3 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 4 0 0 0 0 0 3 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 0 0 0 0 0 0 1 0 0 0 0 3 1 2 0 0 0 0 0 0 0 0 0 0 3 0 0 1 4 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 4 0 3 0 0 0 0 0 0 0 0 0 0 3 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 4 0 0 0 0
hoer	Main model	6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
hoer	Relabel model	3 3 0 2 3 3 3 0 1 3 3 3 3 2 0 3 3 3 3 3 0 3 3 2 3 0 3 0 3 0 3 3 0 0 0 3 0 1 0 3 1 3 0 3 3 3 3 0 3 3 3 3 3 0 3 0 3 3 3 3 3 0 2 3 3 2 2 3 3 3 3 0 3 3 0 2 0 3 3 3 2 6 3 3 0 3 3 3 0 2 3 3 0 3 3 3 3 3 0 0 3 1 0 3 3 3 3 3 3 3 2 3 3 0 3 0 1 3 3 3 3 0 1 2 3 2 3 1 3 3 3 3 2 3 2 3 3 0 0 3
hoer	Gold	0 1 0 4 4 1 4 0 1 5 2 4 5 1 1 2 0 4 1 0 0 5 1 5 1 1 1 1 4 1 5 0 5 5 1 1 0 5 1 5 0 1 1 4 5 1 0 1 6 1 2 1 5 1 0 1 1 5 0 4 5 1 6 1 5 1 5 0 1 1 5 4 1 5 1 2 2 0 1 0 2 2 5 1 1 4 0 1 4 3 1 0 1 1 1 0 5 1 1 1 5 1 1 4 5 5 5 5 6 4 5 2 1 1 1 4 1 5 3 1 5 0 0 5 1 1 5 5 5 5 0 0 1 2 5 5 0 5 1 2
huca	Main model	2 2 2 2 2 2 2 2
huca	Relabel model	1 1 1 2 2 1 1 1
huca	Gold	1 2 0 2 2 0 2 1
mpws	Main model	0 0 0 0 0 0 0 0
mpws	Relabel model	2 0 2 0 0 2 0 0
mpws	Gold	2 1 0 1 1 0 1 1
obry	Main model	1 1 1 1 1 1 1 1 1 1
obry	Relabel model	1 1 1 1 1 1 1 1 1 1
obry	Gold	1 1 1 3 2 3 1 3 3 1
para	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
para	Relabel model	0 0 0 4 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
para	Gold	3 3 2 5 4 0 3 3 0 3 0 0 4 2 2 3 4 6 4 4 1 2 3 3 3 2 2 0
peck	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0
peck	Relabel model	1 1 1 1 1 1 1 1 1 1 1 1 1 1
peck	Gold	2 2 0 0 2 0 2 0 0 0 2 2 0 0
