abbc	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Relabel model	2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 2 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Gold	0 0 0 0 0 0 0 1 0 0 0 1 2 1 2 0 0 0 1 0 0 0 2 2 1 2 0 0 0 0 2 1 0 0 0 0 0 0 2 1 2 0 1 2 1 2 1 2 0 0 0 0 0 0 0 0 1 2 1 0 1 2 0 1 2 0 2 0 2 2 2 0 0 0
afck	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
afck	Relabel model	4 2 1 2 1 1 1 0 1 1 4 2 0 0 5 2 6 5 2 1 2 5 6 6 6 2 2 5 2 2 0 0 6 1 5 0 5 2 2 0 0 0 0 4 5 2 0 0
afck	Gold	2 2 2 2 0 0 2 0 4 1 0 2 0 4 4 4 6 4 4 6 2 0 6 6 0 6 0 4 0 3 2 0 0 4 6 2 6 0 3 3 5 6 4 3 4 0 2 0
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
chct	Relabel model	2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2
chct	Gold	1 1 1 1 1 2 2 2 2 2 2 1 1 2 2 2 2 1 2 1 1 1 1 1 3 3 1 2 2 1 1 1 1 2 2 1 3 2 1 1 2 1 1 1 3 2 1 0 2 1 1 1 1 1 0 1 2 1 1 2 2 1 1 2
clck	Main model	2 2 2 2 2 2 2 2
clck	Relabel model	0 0 0 0 0 0 0 0
clck	Gold	0 0 2 0 0 0 0 0
faan	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
faan	Relabel model	1 0 0 0 0 0 0 0 2 0 2 0 0 2 2 0 0 0 0 0
faan	Gold	0 2 0 0 0 1 0 2 1 1 2 2 2 2 0 1 1 0 1 2
faly	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
faly	Relabel model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
faly	Gold	1 3 1 1 3 3 3 0 0 2 2 3 3 1 3 3
fani	Main model	0 0 0 0 0 0 0 0
fani	Relabel model	0 0 0 0 0 0 0 0
fani	Gold	1 0 0 0 1 0 0 0
farg	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
farg	Relabel model	8 5 5 5 5 5 5 5 5 5 8 5 5 8 5 5 5 5 5 5 5 5 8 5 5 5 5 5 5 5 5 5 5 8 5 5 5 5 5 5 5 8 8 8 5 5 5 5 5 5 8 5 5 5 5 5 5 5 5 5 5 8 8 5 8 5
farg	Gold	1 6 3 3 3 3 3 3 3 6 3 3 3 3 3 3 3 3 3 4 10 3 6 3 3 5 2 3 9 7 3 3 7 3 3 3 3 3 4 3 3 3 3 3 4 3 6 3 3 4 3 6 6 4 4 3 4 3 1 3 3 3 9 6 3 3
goop	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
goop	Relabel model	1 4 2 0 1 2 1 1 4 4 2 2 2 1 2 2 2 2 1 4 1 1 1 2 1 2 4 1 1 2 1 1 1 2 1 2 0 1 2 0 2 1 1 1 2 2 1 4 1 1 2 4 2 1 1 4 1 1 2 1 4 1 1 1 1 1 0 1 2 4 1 1 0 1 4 4 1 1 1 4 2 2 2 1 4 3 1 1 2 2 2 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 2 1 1 0 1 4 1 1 2 1 0 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 4 4 4 1 2 1 1 1 4 1 2 1 1 1 1 1 2 1 2 1 1 1 1 2 1 1 1 4 1 1 1 1 1 2 1 1 1 1 2 1 1 2 1 2 2 2 2 1 1 1 1 2 4 2 1 1 1 1 1 1 1 1 4 2 2 0 1 1 1 1 4 4 2 1 0 1 2 1 2 0 4 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 0 2 1 2 1 1 1 5 2 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 2 1 2 1 2 4 2 1 4 2 4 4 2 0 1 1 1 4 4 1 1 1 1 1 2 4 1 1 2 1 2 4 1 1 1 2 2 1 1 1 4 2 4 1 2 1 4 1 2 0 1 1 2 2 1 2 1 2 4 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 2 4 1 1 1 1 4 1 1 4 2 1 0 1 2 4 1 2 1 0 1 1 2 1 1 4 0 2 1 2 2 1 2 4 1 2 1 2 2 1 1 1 1 0 1 4 2 1 4 2 1 1 1 1 1 2 0 1 1 2 2 1 2 1 2 2 2 1 0 2 2 2 1 1 1 1 1 4 1 1 2 4 2 1 2 2 2 0 1 1 1 0 1 2 1 4 1 2 2 1 1 4 1 1 1 0 2 1 1 1 1 2 1 1 2 2 1 2 2 1 1 1 1 1 1 1 1 1 4 0 2 1 1 1 2 4 1 1 1 1 1 2 1 4 1
