abbc	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Relabel model	2 0 0 2 2 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 0 0 0 0 0 0 0 0 2 2 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 2 0 0 0 0 0 2 0 2 0
abbc	Gold	0 0 0 2 2 1 0 0 0 0 2 0 0 2 0 0 2 2 0 2 2 1 2 0 0 0 1 1 2 0 0 1 0 0 0 0 0 0 2 0 1 1 0 0 0 1 2 1 2 0 0 1 0 1 1 1 0 2 0 0 0 0 2 0 1 0 2 0 0 2 1 0 1 0
afck	Main model	6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
afck	Relabel model	4 0 5 0 0 0 5 4 5 4 4 5 0 5 0 5 4 0 4 4 5 5 5 4 0 4 0 0 0 0 5 0 0 5 5 4 5 5 5 5 5 0 5 4 5 5 5 4
afck	Gold	4 2 2 0 6 0 2 6 3 3 4 4 4 0 1 2 4 6 0 4 4 0 3 6 2 0 0 6 4 2 6 0 6 0 4 2 0 4 0 2 0 6 2 0 5 3 2 4
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1
bove	Gold	0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
chct	Relabel model	1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 1 0 0 0 1 0 0 0 0 0 1 1 1 1 1 1 1 1 0 1 0 0 1 1 1 0 0 1 1 0 0 0 0 1 0 1 0 0 1 0 1 1 1
chct	Gold	2 1 0 1 1 1 2 0 1 1 1 2 1 2 2 1 1 2 2 1 1 1 2 1 2 1 1 2 2 1 2 3 2 2 3 2 3 1 1 2 1 2 3 1 1 1 1 1 1 2 1 1 1 2 2 1 1 1 1 1 1 1 1 1
clck	Main model	2 2 2 2 2 2 2 2
clck	Relabel model	0 0 0 0 0 0 0 0
clck	Gold	0 0 0 2 0 0 0 0
faan	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
faan	Relabel model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2
faan	Gold	1 0 0 0 2 2 2 0 0 1 2 2 1 1 2 0 1 0 1 1
faly	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
faly	Relabel model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
faly	Gold	3 3 2 3 3 0 2 0 1 1 1 2 3 3 3 2
fani	Main model	0 0 0 0 0 0 0 0
fani	Relabel model	0 1 0 1 1 0 1 1
fani	Gold	0 0 0 1 0 0 1 1
farg	Main model	7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7
farg	Relabel model	2 2 10 3 10 10 3 10 3 10 2 10 3 10 3 3 3 10 3 3 10 3 3 3 3 3 3 10 10 10 3 2 3 3 3 3 10 6 10 3 2 10 3 3 3 10 10 3 3 3 10 3 3 3 10 3 10 2 3 10 10 3 10 3 2 10
farg	Gold	3 3 3 3 3 3 1 3 3 4 4 3 3 3 3 2 3 6 3 3 3 5 3 3 4 3 3 1 3 3 6 6 7 3 4 3 9 6 3 3 10 9 3 3 3 3 3 3 4 6 3 3 3 3 3 3 3 4 4 3 6 3 3 7 6 3
