abbc	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Gold	0 0 0 2 0 0 1 0 2 0 2 2 0 0 1 0 0 2 0 0 0 1 0 1 0 0 0 1 1 1 2 0 0 2 0 0 1 0 2 0 1 0 0 0 0 2 0 0 2 2 1 0 1 0 0 2 0 0 2 1 0 0 2 1 2 0 0 2 1 0 2 0 0 0
afck	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
afck	Relabel model	5 2 4 3 3 5 5 2 4 5 5 3 4 3 2 3 3 5 3 3 3 3 3 3 3 2 3 2 2 5 5 5 3 4 2 3 5 2 3 2 5 3 5 5 5 3 3 5
afck	Gold	4 0 3 0 4 4 1 6 2 0 4 3 5 6 0 4 0 0 0 3 2 0 4 0 0 4 2 0 2 6 3 0 6 2 6 0 6 4 2 2 6 2 4 2 6 2 4 6
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
chct	Relabel model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
chct	Gold	1 1 2 1 1 1 1 3 1 1 1 2 1 1 2 1 1 2 2 1 2 2 0 1 2 1 2 2 3 1 1 2 2 2 3 1 2 1 1 1 1 3 1 2 1 1 1 0 2 2 1 2 1 2 1 2 1 1 1 1 1 2 1 2
clck	Main model	1 1 1 1 1 1 1 1
clck	Relabel model	1 1 2 2 1 1 1 1
clck	Gold	0 2 0 0 2 0 2 0
faan	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
faan	Relabel model	1 2 1 2 2 2 1 2 2 1 1 2 2 1 2 1 1 1 2 1
faan	Gold	1 2 0 1 2 0 1 0 0 0 2 0 1 2 1 2 2 0 1 0
faly	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
faly	Relabel model	4 4 3 4 3 4 3 3 4 4 3 3 3 4 3 3
faly	Gold	2 3 3 0 0 3 1 3 1 1 2 1 0 1 3 0
fani	Main model	0 0 0 0 0 0 0 0
fani	Relabel model	0 1 0 1 1 1 1 1
fani	Gold	0 0 1 0 0 0 0 0
farg	Main model	5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
farg	Relabel model	6 1 6 6 1 1 6 7 1 7 1 7 6 6 5 6 1 7 1 1 1 1 6 6 7 1 1 1 6 1 1 6 6 1 7 7 5 1 7 7 6 1 5 1 7 1 7 1 1 6 1 5 7 1 7 1 1 6 6 7 1 7 7 7 1 1
farg	Gold	3 6 3 3 3 3 9 3 3 3 6 6 3 3 4 3 4 3 7 9 3 3 3 3 3 6 3 4 1 4 3 6 3 3 4 3 7 3 3 3 3 3 3 3 3 6 1 3 3 3 4 4 3 5 3 10 3 3 3 6 2 3 3 3 3 3
