abbc	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Relabel model	0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1
abbc	Gold	0 0 2 0 0 2 1 0 1 0 2 1 0 0 0 2 1 1 2 1 1 0 1 1 2 2 0 0 0 2 0 1 0 2 0 0 2 0 0 0
afck	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
afck	Relabel model	0 4 4 0 0 0 0 0 0 0 0 4 0 0 0 0 0 4 0 0 0 0 4 0 0 0 0 0 0 0 0 4
afck	Gold	0 3 4 6 0 2 5 0 0 2 2 6 2 0 2 0 6 2 2 2 0 6 0 2 2 0 6 0 6 0 2 2
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
chct	Relabel model	3 3 3 3 3 3 3 3 3 2 3 3 3 3 3 3 3 3 2 3 3 3 3 3 2 3 2 3 2 3 3 3
chct	Gold	2 1 1 3 2 2 1 1 1 2 2 1 2 1 2 2 2 2 2 2 1 0 1 0 2 1 3 2 3 2 1 1
clck	Main model	0 0 0 0
clck	Relabel model	0 0 0 0
clck	Gold	2 0 0 0
faan	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
faan	Relabel model	0 1 1 1 2 1 1 2 0 2 2 2 2 0 1 2
faan	Gold	1 2 2 0 2 0 2 0 2 2 0 0 0 1 0 2
faly	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3
faly	Relabel model	4 4 1 1 1 0 0 0 4 0 0 1 0 0
