abbc	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Relabel model	0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1
abbc	Gold	0 1 2 0 0 1 2 0 0 2 0 1 0 0 1 0 2 0 0 0 1 0 2 0 1 1 2 0 2 0 0 0 2 0 0 2 0 0 1 0 0 0 1 0 1 2 1 2 0 0 2 0 1 0 2 1 1 0 0 0 0 0 0 0 0 0 2 2 2 0 1 1 0 2
afck	Main model	5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
afck	Relabel model	1 1 0 4 4 0 1 4 4 1 0 0 1 4 4 0 0 4 0 1 0 4 4 0 0 0 0 1 0 4 0 0 4 0 4 0 0 4 0 4 4 0 1 4 4 0 4 1
afck	Gold	0 0 6 2 6 4 4 6 2 4 0 6 3 2 0 2 2 3 3 0 4 0 6 5 6 0 0 4 4 4 2 2 0 2 6 4 3 0 0 1 2 2 0 4 0 4 6 4
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
chct	Relabel model	2 1 2 2 2 2 2 2 1 2 1 2 2 1 2 2 2 2 2 1 2 2 2 2 1 1 1 2 2 1 1 1 2 2 1 2 2 2 2 2 2 2 2 1 1 2 2 1 2 2 1 2 2 2 1 2 2 2 2 2 2 1 2 1
chct	Gold	1 1 3 1 2 1 2 1 2 1 2 0 1 2 2 1 2 2 2 1 2 1 1 2 1 3 1 1 2 1 1 1 1 2 2 3 2 1 3 1 1 1 2 2 1 1 2 1 1 1 2 1 2 1 0 1 1 2 1 1 1 2 2 2
clck	Main model	0 0 0 0 0 0 0 0
clck	Relabel model	2 2 0 2 2 0 2 2
clck	Gold	0 2 0 0 2 0 0 2
faan	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
faan	Relabel model	2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
faan	Gold	2 2 1 1 1 0 1 1 2 0 0 2 0 2 2 0 0 0 2 2
faly	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
faly	Relabel model	4 1 1 4 1 4 4 1 1 4 4 4 4 4 4 4
faly	Gold	3 3 1 2 0 2 1 3 1 3 0 3 3 2 1 2
fani	Main model	0 0 0 0 0 0 0 0
fani	Relabel model	2 2 2 2 2 2 2 2
fani	Gold	0 0 1 0 0 1 0 1
farg	Main model	7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7
farg	Relabel model	8 8 8 8 8 8 8 8 8 8 8 8 5 8 5 8 8 8 4 8 8 8 8 8 8 8 5 8 8 5 8 5 8 8 8 8 8 8 8 5 8 8 8 8 8 8 8 8 8 8 8 8 8 5 8 8 8 8 8 8 8 8 8 8 8 8
farg	Gold	3 3 4 4 2 6 10 6 3 3 6 3 9 3 3 3 3 5 4 3 3 3 3 3 3 3 3 1 3 1 3 3 3 4 3 7 7 4 3 3 3 3 6 3 3 3 3 3 4 3 3 3 6 3 9 3 3 3 3 3 3 3 6 4 6 3
goop	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
