abbc	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
abbc	Relabel model	0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 1 1 1 0 1 0 1 1 0 1 0 0
abbc	Gold	1 0 0 0 1 2 1 2 1 1 1 2 0 2 0 0 0 0 2 1 0 0 2 0 0 0 2 0 1 1 0 0 2 1 0 2 2 1 0 0
afck	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
afck	Relabel model	4 1 1 1 1 3 1 1 1 4 1 1 1 1 3 5 1 1 1 1 1 1 1 3 1 3 4 1 1 4 1 3
afck	Gold	0 2 2 0 2 6 0 2 6 6 0 6 2 0 2 2 0 5 4 0 0 2 2 3 0 3 6 6 0 0 0 6
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
chct	Relabel model	3 1 0 1 0 0 0 3 1 0 3 1 3 1 3 3 0 3 3 3 0 3 1 0 0 0 3 1 1 0 3 3
chct	Gold	1 2 1 0 0 1 1 1 3 1 3 2 2 3 2 2 2 2 2 2 2 1 1 2 2 2 1 2 1 2 3 2
clck	Main model	0 0 0 0
clck	Relabel model	0 0 0 0
clck	Gold	0 2 0 0
faan	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
faan	Relabel model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
faan	Gold	2 2 0 1 2 2 2 2 0 0 0 2 0 2 2 2
faly	Main model	3 3 3 3 3 3 3 3 3 3 3 3 3 3
faly	Relabel model	0 3 3 0 0 3 3 3 0 3 0 3 3 0
faly	Gold	2 1 0 3 4 3 1 3 4 1 2 1 0 4
fani	Main model	2 2 2 2
fani	Relabel model	2 2 2 2
fani	Gold	1 0 1 0
farg	Main model	6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
farg	Relabel model	3 3 3 3 3 6 6 2 3 6 3 2 3 6 3 6 6 3 6 3 2 6 6 6 3 3 2 3 6 6 3 6 2 6 2 3 6 6 6 3 6 3 6 3 2 6 3 6
farg	Gold	3 4 3 5 3 3 1 3 6 3 10 3 1 6 3 3 6 3 3 9 6 3 3 3 3 3 10 3 3 3 2 3 3 9 3 3 3 3 3 3 6 6 3 9 3 3 3 3
goop	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
goop	Relabel model	5 5 5 5 5 2 5 2 5 3 2 5 5 5 4 5 5 5 5 5 5 5 2 5 5 5 5 5 4 5 2 5 5 5 5 2 5 5 5 5 5 5 2 5 5 5 5 2 5 5 5 5 5 4 5 5 5 5 5 5 5 5 5 5 5 5 5 2 5 5 2 5 5 5 5 5 2 5 5 4 2 5 5 5 5 5 1 5 5 5 5 5 5 5 5 5 4 2 5 5 5 5 5 2 4 5 5 5 5 4 5 5 5 5 5 5 4 5 5 5 5 5 4 5 5 5 5 5 5 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 4 5 5 4 5 5 5 5 2 5 5 4 5 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 2 5 5 2 4 5 4 5 5 2 5 5 5 5 5 5 2 5 5 5 5 5 5 2 2 5 4 5 1 5 5 5 5 5 4 5 5 5 1 4 5 5 2 5 5 5 5 5 5 5 2 5 4 5 5 5 5 2 5 5 4 2 5 5 1 5 5 5 5 2 4 5 5 1 5 5 5 5 2 2 5 5 5 4 5 5 5 5 1 5 5 4 5 5 5 2 5 1 2 5 1 5 2 5 5 5 5 5 5 5 5 5 5 4 5 5 5 5 5 5 5 2 4
