abbc	Main model	1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1
abbc	Relabel model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
abbc	Gold	0 2 0 0 1 1 0 0 2 2 0 1 1 2 1 0 2 2 0 2 0 0 0 1 0 0 1 1 0 2 1 2 1 0 0 0 0 2 2 0
afck	Main model	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
afck	Relabel model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
afck	Gold	2 6 2 2 2 6 0 0 2 2 0 4 6 0 5 6 0 2 2 3 0 0 0 2 0 6 4 6 4 0 3 6
bove	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bove	Relabel model	0 1 0 1 0 1 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 1
bove	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chct	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
chct	Relabel model	1 1 1 1 1 1 1 1 1 1 0 3 0 1 3 1 3 1 1 3 1 3 1 3 3 3 3 1 1 3 1 1
chct	Gold	1 3 0 2 2 2 1 2 3 2 2 1 2 2 2 1 2 1 1 1 2 2 1 0 1 2 2 3 1 2 1 2
clck	Main model	0 0 0 0
clck	Relabel model	1 1 1 1
clck	Gold	0 2 2 2
faan	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
faan	Relabel model	2 1 1 2 2 2 1 1 2 2 1 1 2 2 1 1
faan	Gold	0 2 1 0 2 2 2 2 0 2 0 1 0 2 1 2
faly	Main model	1 1 1 1 1 1 1 1 1 1 1 1 1 1
faly	Relabel model	4 4 3 4 3 4 4 4 4 4 4 4 4 4
faly	Gold	1 2 3 4 0 1 3 1 1 2 4 2 2 1
fani	Main model	1 1 1 1
fani	Relabel model	0 1 1 0
fani	Gold	0 1 1 0
farg	Main model	9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9
farg	Relabel model	3 3 3 3 3 3 1 3 3 3 3 3 3 3 3 3 3 3 1 3 3 3 3 3 3 3 1 3 1 3 3 3 3 3 3 1 3 1 3 3 3 3 1 3 1 3 3 3
farg	Gold	3 10 3 3 10 3 9 3 3 3 9 4 3 3 3 3 3 3 6 2 6 3 6 3 3 1 3 3 3 3 3 3 6 1 6 3 6 3 3 5 3 3 3 3 3 9 3 6
goop	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
goop	Relabel model	4 5 5 5 3 4 5 5 1 2 2 2 3 2 1 2 1 3 2 5 3 4 4 5 2 4 5 4 1 5 4 1 2 5 5 1 2 2 4 1 1 3 4 4 5 4 4 4 4 3 2 4 4 2 3 4 3 4 2 4 3 5 4 2 4 5 5 5 4 5 5 5 4 5 5 3 5 3 5 4 5 3 4 5 2 5 2 4 2 5 2 5 4 4 5 2 1 5 4 2 2 1 2 5 2 5 2 5 5 5 1 2 2 3 5 2 3 2 2 1 3 5 5 4 5 1 4 2 2 5 4 4 4 3 2 1 1 5 3 1 5 5 4 2 1 5 4 4 5 5 3 5 2 2 2 3 5 2 2 5 4 5 2 4 4 2 4 2 5 2 5 3 4 5 5 3 1 5 4 4 5 1 3 5 5 5 5 2 2 1 5 5 2 1 2 5 2 4 5 3 2 2 5 3 5 5 4 5 4 2 2 1 4 1 2 1 2 5 3 2 2 5 5 5 4 4 3 4 4 5 5 1 2 4 4 3 2 2 5 2 2 5 2 2 5 1 3 5 4 2 3 5 5 1 5 4 3 4 1 5 4 5 2 4 5 1 5 5 5 3 2 2 5 5 3 3 1 5 5 2 4 4 5 5 5 2 4 3 3 3 2 5 5 4 3 4 4 5 5 2 5 3 5 5
goop	Gold	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 4 1 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 1 0 0 0 3 0 0 0 0 0 0 0 0 1 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 3 0 4 0 1 1 0 0 0 0 0 0 0 0 0 0 3 1 1 0 0 0 0 0 3 0 0 0 0 0 0 0 1 4 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 4 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 3 0 0 0 0 0 0 0 4
hoer	Main model	4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
hoer	Relabel model	2 2 2 2 2 2 2 2 2 1 1 2 1 2 2 2 6 2 2 2 2 2 1 2 2 2 1 2 2 3 2 2 2 2 2 2 2 2 6 2 2 2 2 2 2 2 1 1 2 2 2 2 2 4 6 2 2 2 2 1 2 2 2 2 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 6 2 2 2 2 1 4 1 2 1 2 2 1 2 2 2 2 2 2 6 2 1 2 1 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 2 2 2 2 2 2
hoer	Gold	5 1 1 2 5 2 0 0 1 2 5 5 5 1 0 4 1 0 4 5 1 5 0 4 5 1 5 1 5 2 5 0 1 0 0 5 1 1 3 1 1 0 1 1 5 4 5 1 1 1 1 0 1 0 1 5 1 5 4 4 1 1 1 1 2 4 1 1 5 5 1 5 1 1 1 5 1 2 6 1 1 0 1 2 5 0 1 5 1 4 1 5 5 1 5 4 0 3 5 1 5 1 5 0 1 1 2 0 4 4 1 4 0 0 1 0 1 1 6 0 0 1 5 1 5 4 6 4 2 1 0 1 5 5 4 4 0 1 5 5
huca	Main model	2 2 2 2 2 2 2 2
huca	Relabel model	2 2 2 2 2 2 2 2
huca	Gold	0 1 2 2 2 2 2 1
mpws	Main model	0 0 0 0 0 0 0 0
mpws	Relabel model	1 0 1 0 1 0 0 1
mpws	Gold	1 2 1 0 1 0 0 1
obry	Main model	0 0 0 0 0 0 0 0 0 0
obry	Relabel model	3 3 3 3 3 3 3 3 3 3
obry	Gold	2 1 1 3 1 1 3 2 1 2
para	Main model	6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
para	Relabel model	1 5 6 4 5 6 1 5 6 6 6 5 4 4 6 5 1 4 1 5 5 5 1 5 6 6 6 4
para	Gold	4 4 3 3 3 0 3 4 2 2 3 2 4 4 2 0 5 0 0 3 1 6 0 6 3 0 3 4
peck	Main model	0 0 0 0 0 0 0 0 0 0 0 0 0 0
peck	Relabel model	2 0 2 2 0 2 2 2 2 2 2 2 2 2
peck	Gold	2 2 0 0 2 2 0 0 0 2 0 2 0 0
pomt	Main model	6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
